% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.563410771e+05 +4.563410771e+05 +4.563769771e+05 +4.563769771e+05 +2.6394e+00 +4.2838e+00 +2.6194e+00 -4.4926e+00 -1.9809e+00 -3.5272e+00 +2.8022e+00 -5.8569e-01 -3.1698e+00 -3.2221e+00 -3.1583e+00 -3.5179e+00 +2.1642e+00 +4.9473e-01 +4.6691e+00 -2.9829e+00 +1.5422e+00 +2.3873e+00 -1.0664e+00 -6.8981e-01
55 +3.167685792e+05 +3.167685792e+05 +3.168044792e+05 +3.168044792e+05 +5.0308e-01 +4.2950e+00 +6.7097e-01 +5.1673e-01 -2.1871e+00 -2.3811e+00 +2.6543e+00 -3.7141e-01 -3.4953e+00 -2.6640e+00 -3.4585e+00 -2.2139e+00 -3.5639e-01 +2.2157e+00 +3.7616e+00 -2.8015e+00 +1.3313e+00 +3.8398e+00 -1.9889e+00 +1.2745e+00
69 +2.362631016e+05 +2.362631016e+05 +2.362990016e+05 +2.362990016e+05 +1.4408e+00 +3.0751e+00 +3.5598e+00 +3.6577e+00 -1.8712e+00 -3.8620e+00 -9.2388e-01 -5.0887e-01 -2.0967e+00 +2.0267e+00 -3.1311e+00 -2.6030e+00 +3.8349e-01 -1.1244e+00 +4.3328e+00 -1.3970e+00 +1.2703e+00 +2.3272e+00 -1.4175e+00 +6.7427e-01
117 +1.560218275e+05 +1.560218275e+05 +1.560577275e+05 +1.560577275e+05 +1.3070e+00 +3.4878e+00 +3.3160e+00 +2.7674e+00 -1.8768e+00 -3.8516e+00 +1.4951e-01 -2.2563e-01 -2.1369e+00 -1.6303e+00 -3.6308e+00 -2.7679e+00 +7.6040e-01 -3.1828e+00 +3.6881e+00 -1.7112e+00 +1.0844e+00 +1.9597e+00 -1.4449e+00 +6.5677e-01
% function evaluation | noise-free fitness - Fopt (3.137000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.092207264e+06 +1.092207264e+06 +1.092238634e+06 +1.092238634e+06 +1.7339e+00 +2.2434e+00 -3.9462e+00 -3.0261e+00 +2.7160e+00 +2.1103e+00 +3.6205e+00 -2.2214e+00 -3.9619e+00 -3.5769e+00 +2.7390e+00 -3.9825e+00 +1.7480e+00 -4.9829e+00 +1.6230e+00 -3.2309e+00 -1.2662e+00 +2.5938e+00 -4.8341e+00 -2.4403e+00
2 +9.908389527e+05 +9.908389527e+05 +9.908703227e+05 +9.908703227e+05 +4.9903e+00 +3.5469e+00 -4.6968e+00 -1.0444e+00 -4.7098e+00 +2.8702e+00 +5.6650e-01 -3.3858e+00 +3.0239e+00 +2.2962e+00 -5.2720e-01 +4.2823e+00 +4.1477e+00 +3.1644e+00 -2.3200e+00 +4.6588e+00 -1.8477e+00 +2.1746e+00 +2.6113e-01 +4.1230e+00
3 +3.750555073e+05 +3.750555073e+05 +3.750868773e+05 +3.750868773e+05 -5.2394e-02 -1.2964e-01 -3.0277e+00 +4.7250e+00 -3.0937e+00 -4.7487e+00 +3.2285e+00 -3.5897e+00 -7.2929e-03 -2.7321e+00 -2.8543e+00 -3.9719e+00 -2.2055e-01 -4.4275e+00 -2.5786e+00 -3.6765e+00 +1.6859e+00 -1.3521e+00 -3.1977e+00 +3.4709e+00
82 +2.155455736e+05 +2.155455736e+05 +2.155769436e+05 +2.155769436e+05 +2.7634e+00 +2.5045e+00 -3.7486e+00 +1.7569e+00 -1.4164e+00 -1.9657e+00 +2.5558e+00 -2.0771e-01 +3.6154e-01 +2.6794e-01 -5.7733e-01 +9.4869e-01 +1.7642e+00 -6.2898e-02 -1.7238e-01 -8.8223e-01 +2.7605e+00 -3.4177e+00 -1.3671e+00 -1.2414e+00
87 +1.222460124e+05 +1.222460124e+05 +1.222773824e+05 +1.222773824e+05 +3.2494e-01 +2.3456e+00 -2.8364e+00 +2.0522e+00 +1.1879e+00 -2.6063e+00 -5.5489e-01 +3.8337e+00 +6.3313e-01 -6.8389e-03 -4.2566e-01 -1.4202e+00 -6.2023e-01 +2.1434e-01 +9.6440e-01 +3.3157e+00 +1.6090e+00 -3.8220e+00 -2.9420e+00 -3.1176e+00
