% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.611974023e+03 +1.611974023e+03 +1.149884023e+03 +1.149884023e+03 +2.2486e+00 -4.1717e+00 -3.0253e+00 -1.5379e+00 +1.4440e+00 +3.7914e+00 -4.1781e+00 -3.8156e+00 +1.7903e+00 -1.9827e+00 -1.5336e+00 +1.8833e+00 -6.6638e-01 -1.1899e+00 -4.5210e+00 -1.5999e+00 +4.3433e+00 +3.6462e+00 -3.3992e-01 +4.1082e+00
9 +9.224893872e+02 +9.224893872e+02 +4.603993872e+02 +4.603993872e+02 +2.4958e+00 +4.9197e+00 +4.1040e+00 -4.5388e+00 +2.2156e+00 -2.5917e+00 -1.7193e+00 +3.6394e+00 -2.1748e+00 -7.1362e-01 -4.5321e+00 -3.0154e+00 +1.3971e+00 -1.6769e+00 -1.1205e+00 -4.8836e+00 +1.9415e+00 -4.5741e+00 -3.5049e+00 -3.9061e-01
31 +6.042260233e+02 +6.042260233e+02 +1.421360233e+02 +1.421360233e+02 +1.9009e+00 +5.3143e-01 +1.3031e+00 +3.8436e+00 +2.5205e+00 +2.4767e+00 +2.0430e+00 +9.9896e-01 +1.1502e-01 +1.6823e+00 -2.0701e+00 -2.8128e+00 +1.7239e+00 -2.7172e+00 -2.4972e+00 -1.3682e+00 -2.1443e+00 -1.8361e+00 -8.7529e-01 +3.3187e+00
321 +3.944641550e+02 +3.944641550e+02 -6.762584501e+01 -6.762584501e+01 -2.7499e-01 +8.9962e-01 +5.5023e-01 +2.4889e+00 -2.9096e-01 +2.2745e+00 +4.3481e-01 +1.1007e+00 +5.3768e-01 +8.2894e-01 -1.7446e+00 -2.4764e+00 +1.7059e+00 -2.9235e+00 -1.8188e+00 -1.8756e+00 -8.1445e-01 -1.6923e+00 -1.6349e+00 +1.8757e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.110035408e+03 +3.110035408e+03 +3.187695408e+03 +3.187695408e+03 -3.7314e+00 +1.1671e+00 -5.8776e-01 +3.0938e+00 +1.3704e+00 +2.0631e+00 -2.2840e+00 -4.6727e+00 -1.0122e+00 -3.4105e+00 -2.2096e+00 -4.7985e+00 +2.5957e+00 +1.3663e+00 +4.9231e+00 +1.9562e+00 -1.2841e+00 +9.4487e-01 -3.0951e+00 -4.5624e+00
5 +2.307249693e+03 +2.307249693e+03 +2.384909693e+03 +2.384909693e+03 -4.9585e+00 -4.8200e+00 +4.7153e-01 -4.7076e+00 +4.2098e+00 -4.4019e+00 +3.6184e+00 -3.8417e+00 -2.9655e+00 +4.5288e+00 +1.6088e+00 -4.9766e+00 -3.5277e+00 -1.6463e+00 +3.1169e+00 +1.2248e-01 -2.8996e+00 -2.1729e+00 -1.1414e-02 -1.0263e+00
6 +1.126612292e+03 +1.126612292e+03 +1.204272292e+03 +1.204272292e+03 +4.7869e+00 -3.3579e+00 +7.4657e-01 +4.9558e+00 -3.2832e+00 -2.0817e+00 -1.8706e-01 -3.0652e+00 -2.0560e+00 -3.2179e+00 -1.2251e+00 -6.1367e-01 -2.1663e+00 +1.3813e+00 -1.6227e+00 -1.2165e+00 +4.2621e+00 -5.4333e-01 -1.5345e+00 -4.0367e+00
24 +9.585618008e+02 +9.585618008e+02 +1.036221801e+03 +1.036221801e+03 -3.4395e+00 -4.1325e+00 +3.4876e+00 -3.6632e+00 +1.2464e+00 +6.2867e-01 +1.7676e+00 -4.4984e+00 +2.2241e+00 -1.4823e+00 -7.8740e-02 -4.2834e+00 -1.8157e+00 +1.3933e+00 -3.2616e+00 +2.3982e-01 -3.1465e+00 -3.7093e+00 -2.1656e+00 -2.0483e+00
49 +5.974330165e+02 +5.974330165e+02 +6.750930165e+02 +6.750930165e+02 +8.6130e-01 -3.1708e+00 +2.2990e-01 -3.6149e+00 +3.8065e-01 -3.1600e+00 +6.6522e-01 -1.8061e+00 -6.9615e-01 -1.2094e+00 -2.9683e-01 -3.2471e+00 -8.9863e-01 +9.9147e-01 -2.9099e+00 -5.9141e-01 +1.0038e+00 -1.8486e+00 -3.2859e-02 -3.3132e+00
