% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.390880364e+03 +3.390880364e+03 +3.420850364e+03 +3.420850364e+03 +2.2676e+00 +2.0751e+00 +2.5472e+00 -4.3975e+00 -4.3718e+00 +4.7965e+00 -2.1418e+00 -9.0795e-01 -2.9957e+00 +2.5548e+00 -1.3977e+00 +4.5657e+00 +1.3247e-01 -2.9568e+00 -3.0461e+00 -5.9734e-01 +1.7154e+00 -3.8766e+00 -4.9230e+00 -6.6962e-01
16 +2.309037156e+03 +2.309037156e+03 +2.339007156e+03 +2.339007156e+03 -1.6586e+00 +2.0742e+00 -3.6780e+00 +2.5505e+00 +1.2334e+00 +2.2293e+00 -1.0850e+00 +4.4659e+00 +1.0772e+00 -2.0988e+00 +2.4404e+00 +1.9806e+00 +3.8210e+00 +6.7689e-01 -1.4609e-02 +1.8932e+00 +8.3980e-01 -3.7341e+00 -3.2275e+00 +2.6321e+00
54 +1.544825507e+03 +1.544825507e+03 +1.574795507e+03 +1.574795507e+03 -1.6561e+00 -6.9868e-01 -3.8150e+00 -4.1761e-01 +1.2921e+00 -1.3154e+00 +9.1729e-01 -3.0635e+00 +1.2292e-01 +1.6690e-01 +4.3524e-01 +1.9195e+00 +2.4237e+00 +1.6956e+00 -8.9114e-01 -1.6193e+00 -3.1670e+00 -1.4577e+00 -4.6236e-01 -2.4650e+00
3187 +9.996177688e+02 +9.996177688e+02 +1.029587769e+03 +1.029587769e+03 +1.9172e-01 -1.1467e+00 -3.6497e+00 -3.1506e-01 +1.0535e+00 -1.6566e-01 -2.1631e+00 -2.9624e+00 -1.0907e+00 +7.2385e-01 -5.3140e-02 +3.6553e-01 +2.9043e+00 +1.7417e+00 -5.5133e-01 -1.0678e+00 -2.7101e+00 +2.1064e-01 +6.5855e-01 -2.7674e+00
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.878598732e+03 +2.878598732e+03 +2.826888732e+03 +2.826888732e+03 -2.3739e+00 +2.9178e+00 +2.3373e+00 -2.9036e+00 -3.1262e+00 +1.0965e+00 -2.4311e+00 +4.1528e+00 -2.3552e+00 -5.1298e-01 +2.9883e+00 +4.5717e+00 -3.5747e+00 +4.1849e-01 +3.5579e+00 +3.9663e+00 +4.1742e+00 -2.8286e-01 -3.6787e+00 -2.5036e-01
41 +2.336522078e+03 +2.336522078e+03 +2.284812078e+03 +2.284812078e+03 -1.0411e+00 +2.3126e+00 +1.5513e+00 -2.6338e+00 -3.0939e+00 +1.2219e+00 -6.1310e-01 +4.1987e+00 -1.6928e+00 -6.9024e-01 +3.3853e+00 +4.5945e+00 +1.4341e+00 +2.4790e-01 +2.8240e+00 +3.3780e+00 +3.8456e+00 -2.5892e-01 +1.0743e+00 +2.5691e+00
% function evaluation | noise-free fitness - Fopt (-2.799500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.519957439e+03 +3.519957439e+03 +3.240007439e+03 +3.240007439e+03 +4.3418e+00 +3.6369e+00 +1.6021e+00 +2.4398e+00 +2.5474e+00 +3.1224e+00 -1.2561e+00 -2.8890e+00 +4.2007e+00 -6.9892e-01 -4.2419e+00 +3.7692e+00 +1.1528e+00 -2.8713e+00 +3.6553e+00 -4.2332e+00 -1.7008e+00 -5.2765e-01 +2.2800e-01 +3.3991e+00
2 +2.373243823e+03 +2.373243823e+03 +2.093293823e+03 +2.093293823e+03 +2.2010e-01 +1.5054e+00 +2.8728e+00 +1.8197e+00 -1.0875e+00 -9.3706e-01 +3.2128e+00 -4.8253e+00 -4.4521e+00 -2.6703e+00 +1.7559e-01 -4.7350e-01 +3.0465e+00 -1.8558e+00 +4.2503e+00 -1.0514e+00 +1.5239e+00 -1.4182e+00 -1.5139e+00 +1.3741e+00
109 +1.518934531e+03 +1.518934531e+03 +1.238984531e+03 +1.238984531e+03 -1.6778e+00 -1.3478e+00 +2.0668e+00 +1.1332e-01 +4.5945e-01 -4.0587e-01 -1.6973e+00 -2.6467e-01 +1.7491e+00 -5.3921e-01 +6.6865e-01 -5.8731e-01 -2.3297e+00 -2.0877e+00 +5.1211e-01 +6.0495e-01 +1.7298e+00 +1.9450e+00 +1.3836e-01 +1.3496e+00
% function evaluation | noise-free fitness - Fopt (9.319900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.169140283e+03 +3.169140283e+03 +4.101130283e+03 +4.101130283e+03 +4.2595e+00 -1.4334e+00 +4.4033e+00 +4.9734e+00 +3.2638e+00 +4.7361e+00 +4.3748e+00 +2.9329e+00 +1.4209e-01 +2.5038e+00 +1.1937e+00 +1.1142e+00 +4.4270e+00 +3.2672e+00 +4.4114e+00 -1.4567e+00 +4.1600e-02 -3.5527e+00 -1.8545e+00 +3.3858e+00
7 +2.177083704e+03 +2.177083704e+03 +3.109073704e+03 +3.109073704e+03 -1.1623e+00 -3.0975e+00 +4.7496e+00 +8.7282e-01 -1.6638e+00 -3.9619e+00 +2.2498e+00 -2.4581e+00 -4.6531e-01 +4.3397e+00 -3.0643e+00 +4.0120e+00 -2.1033e+00 -4.7736e+00 -7.1362e-01 -3.8757e+00 -3.0588e+00 -4.2836e+00 +4.1160e+00 -3.8459e+00
140 +1.518726221e+03 +1.518726221e+03 +2.450716221e+03 +2.450716221e+03 -1.3840e+00 +1.2169e+00 +3.2381e+00 +1.8467e+00 +8.3045e-02 -4.2510e+00 +2.1866e+00 -1.9201e+00 -1.2210e+00 +1.1986e+00 +9.6228e-02 +2.8256e+00 -1.6954e+00 -3.4585e+00 -9.2266e-01 -2.3621e+00 -1.2473e+00 -4.2378e+00 +3.1400e+00 -8.2911e-01
% function evaluation | noise-free fitness - Fopt (1.133100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.306169111e+03 +3.306169111e+03 +3.419479111e+03 +3.419479111e+03 -4.2941e+00 +1.2245e+00 -4.7058e+00 +4.4075e+00 +1.9618e-01 +3.9217e+00 -3.2436e+00 +3.6045e+00 +2.0508e+00 +3.5874e-01 +3.7401e+00 +1.6001e+00 -4.3158e+00 -1.5594e+00 -2.9397e+00 -1.6809e+00 +4.8707e+00 -2.1381e+00 -4.4079e+00 +1.2162e-03
48 +2.088886139e+03 +2.088886139e+03 +2.202196139e+03 +2.202196139e+03 +8.2728e-01 -1.2409e-01 -1.3286e+00 +2.2457e+00 +3.3978e+00 +1.1053e+00 +1.3956e+00 -1.4746e+00 +7.9668e-01 -6.1281e-02 +2.1815e+00 -4.2974e-01 -6.8372e-01 -7.4490e-01 -1.4701e+00 -8.0336e-01 +9.0372e-01 -1.3723e+00 -4.9376e-01 -1.5040e+00
% function evaluation | noise-free fitness - Fopt (-7.563400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.427820326e+03 +3.427820326e+03 +2.671480326e+03 +2.671480326e+03 -4.3630e+00 +1.8118e+00 +4.6185e+00 +2.9589e+00 +4.0685e+00 +2.2115e+00 -4.4437e-01 -3.5460e+00 +3.0576e+00 -1.6362e+00 -6.1648e-01 +2.7916e+00 -3.6056e+00 +2.5545e+00 +2.9862e+00 -2.2622e+00 +1.9697e+00 +3.3115e+00 +2.7891e+00 +3.5260e+00
4 +2.403485316e+03 +2.403485316e+03 +1.647145316e+03 +1.647145316e+03 -2.8404e+00 -4.6631e+00 +8.8602e-01 -4.0294e+00 -3.9638e+00 -1.2554e+00 +1.3789e+00 +2.9668e+00 +1.4219e+00 +3.8902e-01 -4.9481e+00 +3.9553e+00 -3.6033e+00 +7.1108e-01 -2.1588e+00 -1.9947e+00 -2.1319e+00 +1.9913e+00 -1.4276e+00 +3.0538e+00
