% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.354804313e+01 +8.354804313e+01 +1.243280431e+02 +1.243280431e+02 +4.8138e-01 -2.7399e+00 -3.1104e-01 +5.8768e-01 +2.6725e+00 +4.8308e+00 -4.8619e+00 -7.3908e-01 +3.6195e+00 +4.0175e+00 -2.2184e+00 -3.3817e+00 +3.3496e+00 -2.7512e-01 +2.3156e-01 -1.6314e+00 +1.5764e+00 +2.4195e+00 +2.2699e+00 +1.2832e+00
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.617749005e+01 +8.617749005e+01 +8.457749005e+01 +8.457749005e+01 -3.3623e+00 +1.1677e+00 +9.0478e-01 +4.8870e+00 +4.4733e+00 -2.8813e+00 +4.8282e+00 -4.5167e+00 +3.0982e+00 +6.4707e-01 -2.3774e+00 -2.3998e+00 -3.7265e+00 +6.1833e-01 +2.8137e-01 -1.6624e+00 +4.0116e+00 +4.4404e+00 -3.5197e-01 +2.4492e+00
% function evaluation | noise-free fitness - Fopt (-3.708400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.571299620e+01 +8.571299620e+01 -2.851270038e+02 -2.851270038e+02 +3.4339e+00 -4.4747e+00 +2.0185e+00 -4.7678e-01 +1.3098e+00 -3.5485e+00 -1.8908e+00 -3.0227e+00 +3.0555e+00 -4.9368e+00 +2.4634e+00 +1.5121e+00 +3.7310e+00 -2.1174e+00 +3.9260e+00 -1.7303e+00 -3.8348e+00 +4.2748e+00 +3.1816e+00 +9.6756e-01
% function evaluation | noise-free fitness - Fopt (-3.256000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.492081315e+01 +8.492081315e+01 +5.236081315e+01 +5.236081315e+01 +3.3140e-01 -4.1109e+00 -4.5085e+00 -2.9632e+00 +1.3247e+00 -1.0599e+00 -2.1694e+00 +1.1245e+00 -3.7788e+00 -3.1133e+00 -1.7367e+00 +4.3650e+00 -1.5242e+00 -1.8545e+00 +1.6240e+00 +3.4141e+00 -2.9514e+00 +1.6854e+00 -1.9468e+00 -3.4706e+00
70 +6.152010503e+01 +6.152010503e+01 +2.896010503e+01 +2.896010503e+01 -2.6182e+00 +2.4983e+00 -2.2212e+00 -1.2294e+00 -2.3020e+00 +1.5063e+00 +1.5451e+00 -7.9565e-01 +2.4173e+00 +1.7129e+00 +2.8006e+00 -5.4909e-01 +3.3273e+00 -2.6685e+00 +5.1631e-01 +2.5509e-01 -4.1433e+00 -2.2108e+00 -2.2405e+00 -1.5755e+00
165 +3.944852476e+01 +3.944852476e+01 +6.888524755e+00 +6.888524755e+00 -2.5611e+00 +2.3332e+00 -7.0322e-01 +2.9834e-01 -2.3314e+00 +6.0318e-01 +1.4837e+00 -1.4783e+00 +2.0580e+00 +1.6467e+00 +2.8907e+00 -3.4473e-01 +3.1376e+00 -2.4529e+00 -2.4140e+00 -1.5118e+00 -1.6687e+00 -2.3406e+00 -1.0220e+00 -1.7808e+00
% function evaluation | noise-free fitness - Fopt (5.154000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.443950826e+01 +8.443950826e+01 +5.998395083e+02 +5.998395083e+02 +4.8941e+00 -3.6179e-01 +6.1067e-01 -2.1230e+00 +2.7221e+00 +3.6647e+00 -7.6249e-01 +1.8037e+00 +3.2985e+00 +1.8606e-01 -4.3472e+00 -3.6680e+00 -1.4674e+00 -9.1238e-01 +1.4497e+00 -1.9158e+00 -1.8956e+00 +4.8770e-03 -2.9941e+00 +2.0721e+00
323 +6.117135323e+01 +6.117135323e+01 +5.765713532e+02 +5.765713532e+02 +1.6843e+00 +1.0866e+00 +1.9127e+00 -2.3124e+00 -1.6076e+00 -2.5291e+00 -1.8198e+00 +1.1680e+00 -2.0129e+00 -1.0074e+00 +4.6941e-01 +1.2127e+00 -9.5890e-01 +2.7912e-01 +2.0129e+00 +9.7463e-01 +1.2106e+00 -3.0687e+00 -3.2328e-01 +1.6865e-01
% function evaluation | noise-free fitness - Fopt (-1.657000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
