% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.620436675e+01 +8.620436675e+01 -9.137956333e+02 -9.137956333e+02 -4.8251e+00 +9.4002e-01 -1.6978e+00 +1.9388e-01 +3.3829e+00 +3.8221e+00 -3.4902e+00 -1.1802e+00 -6.4849e-01 +4.4713e+00 -4.6416e+00 +1.0626e+00 +4.3064e+00 -1.0077e+00 -2.8132e+00 -5.4294e-01 +3.4625e+00 -3.7100e+00 +3.7316e+00 +4.8568e-01
140 +5.746622192e+01 +5.746622192e+01 -9.425337781e+02 -9.425337781e+02 +2.0726e+00 -1.5980e+00 -6.8495e-01 +2.6313e+00 -4.3074e+00 +1.4360e+00 -2.9182e+00 +2.8350e+00 +1.5856e+00 -1.3528e-01 -3.9172e+00 -6.5221e-01 -6.3296e-01 -3.9912e+00 -3.1729e-01 -1.0082e+00 +1.9655e+00 -3.0402e-01 -5.6191e-01 -1.6995e+00
336 +3.332280364e+01 +3.332280364e+01 -9.666771964e+02 -9.666771964e+02 +2.0600e+00 -1.5779e+00 +6.2262e-01 +2.5836e+00 -4.2695e+00 +1.2452e+00 -2.8799e+00 +2.7509e+00 +2.0689e+00 -9.9453e-01 -3.5968e+00 -2.0579e-01 -2.1331e-01 -4.1340e+00 -1.5403e-01 -9.8248e-01 +1.9541e+00 +9.6275e-01 -3.9298e-01 +9.9913e-02
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.484153540e+01 +8.484153540e+01 +1.084841535e+03 +1.084841535e+03 -4.7055e+00 +2.0860e+00 -2.9528e+00 -6.0060e-01 +2.0760e+00 -1.0991e+00 +2.9523e+00 -2.4774e+00 -2.5768e+00 -2.6192e+00 -3.8494e-01 -3.9367e-02 +3.8837e+00 -2.4038e+00 +4.7653e+00 -3.7588e+00 +7.5071e-01 -4.7218e+00 +2.9787e+00 -4.0311e-01
% function evaluation | noise-free fitness - Fopt (-4.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.646891154e+01 +8.646891154e+01 +3.733891154e+01 +3.733891154e+01 -2.0274e+00 -4.8051e+00 +1.6201e+00 -4.2340e+00 -2.0011e+00 +2.2975e+00 -3.2977e+00 +3.5620e+00 +1.6770e+00 +7.6481e-01 -1.2819e+00 -1.9624e+00 -1.3729e+00 -3.4572e+00 -2.6881e+00 -3.4798e+00 -1.8435e-01 +2.9980e+00 -4.0743e+00 -1.5335e+00
805 +6.309447723e+01 +6.309447723e+01 +1.396447723e+01 +1.396447723e+01 -1.0334e-01 +1.4106e+00 +3.3647e+00 +9.5723e-02 +1.9738e+00 +2.3234e+00 -1.4179e+00 +1.8329e+00 +3.7160e+00 +3.5209e+00 -3.4039e+00 +7.8889e-01 +1.7947e+00 +1.3581e+00 +5.1955e-01 +1.5882e+00 +1.5911e+00 -3.7700e+00 +9.5152e-01 -1.5612e+00
% function evaluation | noise-free fitness - Fopt (2.977300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.441757429e+01 +8.441757429e+01 +3.821475743e+02 +3.821475743e+02 -1.0934e+00 +3.9865e+00 -3.2501e+00 -2.6500e+00 +1.5322e+00 +8.3697e-01 +3.7402e+00 -1.2047e+00 -3.6745e+00 -2.7945e+00 -4.6632e+00 +2.4011e+00 +1.6873e+00 +1.9470e+00 +3.0944e+00 -4.9388e+00 +2.0541e+00 +3.2337e+00 +3.2142e+00 +3.9094e+00
236 +6.142958629e+01 +6.142958629e+01 +3.591595863e+02 +3.591595863e+02 +2.0534e-01 -3.9438e+00 +1.3572e+00 -1.7457e+00 -1.3474e+00 -5.1811e-01 -1.5429e+00 +1.9317e-01 -7.5642e-01 +2.9268e+00 +2.4711e+00 +1.3596e+00 -1.9400e-01 -5.2071e-01 -5.4702e-01 -1.2445e+00 -2.2329e+00 -1.6332e+00 -1.6895e+00 -2.6134e+00
% function evaluation | noise-free fitness - Fopt (5.157000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.601193962e+01 +8.601193962e+01 +1.375819396e+02 +1.375819396e+02 -7.8235e-01 +3.8181e+00 +4.1349e+00 +4.9782e+00 -1.1137e+00 -3.4540e+00 -2.9539e+00 +1.9449e+00 +3.6312e+00 +1.7512e+00 +3.9674e+00 -2.1683e-01 +4.6342e-02 +1.6378e+00 -1.6541e+00 -5.9308e-01 -3.3714e+00 +4.7036e-01 +2.9895e-01 -7.1072e-01
1324 +6.267801027e+01 +6.267801027e+01 +1.142480103e+02 +1.142480103e+02 -1.3582e+00 -1.2445e-01 -1.2162e+00 +1.2262e+00 +7.1965e-01 -1.9625e-01 +9.8792e-01 -1.0372e+00 -8.3218e-01 -1.0113e+00 +4.2333e+00 +2.9072e+00 +2.3103e+00 -1.7740e+00 +2.5528e+00 -2.3889e-01 +4.2845e-01 -1.4789e+00 -2.6027e+00 -2.5572e+00
% function evaluation | noise-free fitness - Fopt (6.723100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
