% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.284852084e+02 +4.284852084e+02 +4.192752084e+02 +4.192752084e+02 -2.5475e-01 +2.4915e+00 -5.1214e-01 +2.6882e+00 +2.5047e+00 -4.8290e+00 -1.7469e+00 -2.9932e-01 +2.0616e+00 +4.7924e+00 +1.4400e+00 -4.3459e-01 -4.9990e+00 -2.6778e+00 -4.8511e+00 -1.0777e+00 +3.5870e+00 -8.0371e-01 +3.4884e+00 +7.7834e-01
4 +3.581293141e+02 +3.581293141e+02 +3.489193141e+02 +3.489193141e+02 +1.4960e+00 -4.1934e+00 -2.3746e+00 +4.6138e+00 -4.2811e+00 +4.2505e+00 +4.9602e+00 -1.0571e+00 -3.3245e+00 +1.1160e+00 +1.5669e+00 -3.6933e-01 +2.1956e+00 -3.7632e+00 +2.6221e+00 -2.7105e+00 +2.3749e+00 -2.2562e+00 +3.5855e-01 +4.4959e+00
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.270356630e+02 +4.270356630e+02 +1.083025663e+03 +1.083025663e+03 -1.1282e+00 -3.1988e+00 -3.1051e-01 -4.5239e+00 -3.3151e+00 +4.0259e-01 +2.4134e+00 +2.1282e+00 -2.5402e+00 -2.4371e+00 -1.7142e+00 -8.0221e-01 -3.9421e+00 -2.2533e+00 +2.5799e+00 -8.6206e-01 +6.9326e-01 +2.7593e+00 +3.1227e+00 -3.7871e+00
2 +3.411964900e+02 +3.411964900e+02 +9.971864900e+02 +9.971864900e+02 -3.1524e+00 +4.7353e-01 -4.3416e+00 +2.9602e+00 -6.9361e-02 -4.3188e+00 -1.7276e+00 +2.3574e+00 +2.9885e+00 +2.6663e+00 -2.9658e+00 -1.6376e+00 +3.3949e-01 -3.1029e+00 +3.5074e+00 +4.9446e+00 -1.3264e+00 +1.5152e+00 +1.3779e-01 +2.2700e-01
61 +2.511607522e+02 +2.511607522e+02 +9.071507522e+02 +9.071507522e+02 +9.6025e-01 -3.3514e+00 +2.1110e+00 -4.6777e+00 -4.1940e+00 +4.4399e+00 -2.6909e+00 +1.6943e+00 +1.2296e+00 -2.2555e+00 +2.4532e+00 +2.5622e+00 +1.0095e+00 +1.7131e-01 -1.3194e-01 +2.1879e+00 -1.0129e+00 -4.3177e+00 +3.8805e+00 +3.1613e+00
% function evaluation | noise-free fitness - Fopt (6.671000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.567966266e+02 +4.567966266e+02 +5.235066266e+02 +5.235066266e+02 +2.6021e+00 -4.1531e+00 +3.4013e-01 -4.2500e+00 +1.5860e+00 +5.1450e-01 -4.9438e+00 -2.4441e+00 -3.4517e+00 +2.4787e+00 -3.9716e+00 -4.8972e-01 +2.7488e+00 -4.3730e+00 -3.2264e+00 -1.7678e+00 +4.3580e+00 -9.7735e-01 -1.2821e+00 +1.6964e+00
3 +3.667231676e+02 +3.667231676e+02 +4.334331676e+02 +4.334331676e+02 -1.0321e+00 +3.8348e+00 +2.9387e+00 -2.9930e+00 -4.0624e+00 -3.0270e+00 +4.0007e+00 +1.4965e+00 +4.9426e+00 -6.5695e-01 -1.6113e+00 +1.6708e+00 -2.7938e+00 -1.7724e+00 +1.6296e+00 -4.8360e+00 -3.3885e+00 -4.6879e+00 -4.0552e+00 +1.4290e+00
99 +2.481495895e+02 +2.481495895e+02 +3.148595895e+02 +3.148595895e+02 -2.7047e+00 +2.1687e+00 -9.1944e-01 +4.8450e-01 -1.0546e+00 -4.1145e+00 +2.0980e+00 -1.1816e-01 +9.9363e-01 -3.5934e-02 -3.3693e+00 -3.0983e+00 +4.4817e+00 +3.4111e-01 +3.7904e+00 +5.4247e-01 -1.7132e+00 -3.1505e+00 -2.1493e+00 -3.2569e+00
% function evaluation | noise-free fitness - Fopt (9.416700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.439450423e+02 +4.439450423e+02 +1.385615042e+03 +1.385615042e+03 +1.1881e+00 -3.0762e+00 -2.3739e+00 -4.2181e+00 +4.4269e+00 +1.8833e+00 -1.0681e+00 +1.3814e+00 +3.3394e+00 +3.5403e+00 +1.3532e+00 -4.5963e+00 +1.3918e+00 -9.6717e-02 +4.0254e+00 +5.9631e-01 +9.7285e-01 +2.7186e+00 -4.7390e+00 -4.3179e-01
2 +3.715959041e+02 +3.715959041e+02 +1.313265904e+03 +1.313265904e+03 +1.8367e+00 -1.8314e+00 -1.6968e-01 +3.1781e-01 -2.9828e-01 -2.8528e+00 -2.0988e+00 -4.4094e+00 +8.0929e-01 +4.3228e+00 -2.9044e+00 -1.7111e+00 -4.1932e+00 -1.4235e+00 +1.8245e+00 -2.5157e-01 -4.1622e+00 +1.6750e+00 +5.4150e-01 -4.6280e+00
