% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.491527735e+02 +2.491527735e+02 +3.286327735e+02 +3.286327735e+02 +4.5155e+00 -1.4486e+00 +3.6935e+00 -4.2702e-01 +3.6247e+00 +3.9525e-01 +2.2342e+00 -3.5763e+00 -3.2625e-01 +4.0983e+00 -3.4054e+00 +7.8722e-01 -4.3315e+00 +3.5953e-01 -7.0031e-01 +2.0093e-02 +3.6503e+00 -4.8742e+00 -1.6725e+00 +3.3885e+00
18 +1.371954966e+02 +1.371954966e+02 +2.166754966e+02 +2.166754966e+02 -1.1581e+00 +2.1300e+00 +4.0049e-01 +3.9224e+00 -8.5805e-02 +4.4417e+00 +3.5589e+00 -4.9544e+00 +1.9115e+00 -1.1143e+00 -7.6474e-02 -1.2818e+00 -7.9549e-01 +6.4763e-01 +3.1663e+00 +1.8634e+00 +4.9777e-01 -3.9481e+00 -1.8270e-01 -4.7987e-01
56 +9.763291334e+01 +9.763291334e+01 +1.771129133e+02 +1.771129133e+02 +2.7606e+00 +2.6275e+00 +3.6958e+00 +1.8908e+00 +5.5190e-01 +1.2646e+00 -1.0653e+00 -4.1395e-01 -1.7683e+00 -1.1327e+00 -3.7842e-01 -1.1639e+00 -4.4132e-02 +1.6508e+00 +1.2545e+00 +4.9524e-01 -4.3988e-01 -2.7397e+00 +3.7507e+00 +1.3640e+00
133 +5.755692151e+01 +5.755692151e+01 +1.370369215e+02 +1.370369215e+02 -1.3774e+00 +1.2252e+00 -4.0819e-02 +1.0273e+00 -3.2948e-01 +2.5151e+00 +1.5107e+00 -7.2190e-01 -8.0045e-01 -4.7682e-01 -3.3921e-01 +2.6734e+00 +2.1267e+00 -7.3944e-01 +3.3003e+00 +1.3593e-01 -4.3152e-02 -1.9871e+00 +2.1150e+00 +1.3750e-01
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.190646723e+02 +4.190646723e+02 +8.135446723e+02 +8.135446723e+02 +1.4558e+00 -3.4963e+00 +1.5305e+00 -3.7997e+00 +2.0865e+00 +3.2894e+00 -6.3412e-01 -3.0229e+00 -5.2926e-01 +2.1064e+00 -4.4581e+00 +3.4776e+00 +2.5499e-01 -2.6939e+00 +4.0288e+00 -3.1483e+00 -7.1291e-01 -1.6321e+00 +4.4074e-01 -2.3012e+00
2 +2.700740373e+02 +2.700740373e+02 +6.645540373e+02 +6.645540373e+02 -1.1405e+00 +3.0841e+00 -1.9794e+00 -3.1267e-02 -1.2579e+00 +3.0618e+00 +8.2722e-01 -4.6380e+00 -3.7710e+00 +8.8164e-01 -1.6335e+00 -8.9316e-01 +1.2928e+00 +2.2397e+00 +5.4417e-01 -3.5827e+00 +1.4861e+00 +6.7367e-02 +1.0174e+00 -2.0931e+00
5 +2.504807022e+02 +2.504807022e+02 +6.449607022e+02 +6.449607022e+02 -4.3454e+00 -3.0684e+00 -4.3208e+00 -4.0412e+00 -2.0723e-01 +4.5829e+00 +3.1645e+00 -1.8871e+00 -7.0867e-01 -2.5091e+00 -3.9812e+00 +3.3471e+00 -3.6856e+00 +9.0996e-02 -1.2432e+00 -3.3144e-01 -1.5690e+00 -1.4550e-01 +2.8369e+00 -2.9509e+00
48 +1.335088452e+02 +1.335088452e+02 +5.279888452e+02 +5.279888452e+02 -2.2914e+00 -1.2181e+00 -1.3415e+00 -3.4245e+00 +1.3529e+00 -9.9974e-01 +1.0878e+00 -2.6521e+00 +5.5691e-01 -1.6081e+00 +1.6388e+00 +7.5530e-01 -1.3107e+00 +1.6009e+00 +3.0879e-01 +3.1716e+00 -4.6266e+00 -3.0243e+00 +2.9458e+00 -7.0947e-01
136 +9.816915308e+01 +9.816915308e+01 +4.926491531e+02 +4.926491531e+02 -1.7140e+00 -1.2958e+00 +6.1216e-01 +2.8253e-01 -4.4125e-01 -3.7523e+00 +1.1746e+00 -1.9173e+00 -3.9381e-01 -3.9112e+00 +6.5101e-01 +6.2226e-01 -4.6259e-01 -4.5811e-01 -1.4823e+00 +3.1067e+00 -1.7372e+00 -7.0383e-01 -2.9939e+00 -1.5029e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.744017225e+02 +2.744017225e+02 +2.729172250e+01 +2.729172250e+01 -4.8158e+00 +2.8691e+00 +1.2508e-01 -3.8824e+00 -3.3382e+00 +4.4911e+00 -3.3797e-01 +6.0151e-01 +7.6399e-01 -1.5128e+00 -3.4298e+00 -1.1939e+00 -2.2250e+00 -5.5629e-01 -3.8916e+00 -4.8840e+00 -3.7543e+00 -3.3830e-01 +3.7424e+00 -1.1363e+00
5 +2.122014685e+02 +2.122014685e+02 -3.490853148e+01 -3.490853148e+01 -2.2999e+00 -2.2246e-01 +4.7147e+00 -4.5691e+00 -2.5150e+00 +3.7021e+00 -2.8564e+00 +7.8597e-01 +3.3965e+00 +4.7819e+00 +7.5179e-01 -1.0523e+00 +8.8240e-01 +4.3210e+00 +1.3862e+00 -1.2009e+00 -4.5997e+00 +2.9541e+00 +3.6524e+00 -2.8656e-02
26 +1.502004554e+02 +1.502004554e+02 -9.690954458e+01 -9.690954458e+01 +7.0552e-01 -1.1032e+00 -1.9924e+00 +9.2201e-01 -1.9632e+00 -8.3902e-01 +4.7909e+00 -3.9280e+00 -4.3515e+00 +4.6497e+00 -2.3598e+00 +1.2941e-01 +3.0395e-01 -1.7323e+00 +2.4690e+00 +4.4539e+00 +1.4612e+00 +5.6125e-01 +6.8090e-01 -2.9821e+00
101 +6.749264202e+01 +6.749264202e+01 -1.796173580e+02 -1.796173580e+02 -2.0218e+00 -6.1543e-01 +2.6960e-01 +8.4247e-01 -1.5764e+00 +1.0629e+00 +2.7748e+00 -2.2761e+00 -1.9817e+00 +2.1573e+00 -3.6266e-01 +1.8222e+00 +2.7737e+00 +1.0968e+00 +2.3173e+00 +3.9167e+00 +1.4949e+00 +1.7239e+00 +1.7610e-01 +1.1535e-01
174 +5.997194019e+01 +5.997194019e+01 -1.871380598e+02 -1.871380598e+02 -1.9820e+00 -6.4035e-01 -8.9106e-01 +9.4939e-01 -1.9266e+00 +2.1442e-01 +2.9467e+00 -2.2419e+00 -2.4562e+00 +2.1870e+00 -3.7588e-01 +9.5727e-01 +2.6407e+00 +1.1850e+00 +2.2797e+00 +1.6664e+00 +1.4699e+00 +1.1275e+00 +2.3029e-01 -2.7378e-02
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.073647694e+02 +3.073647694e+02 +1.553247694e+02 +1.553247694e+02 -1.5954e+00 +2.7196e+00 -2.8901e+00 -4.9758e+00 -3.6425e+00 +1.4924e+00 +2.7581e+00 -3.8589e+00 -2.1528e+00 +3.0450e+00 -5.0747e-01 -3.9368e+00 +2.5935e+00 +1.3667e+00 -2.2734e+00 -3.2403e+00 +1.2077e-01 +2.9714e+00 -3.4667e+00 -3.8979e+00
2 +2.395439129e+02 +2.395439129e+02 +8.750391292e+01 +8.750391292e+01 +2.3813e+00 +2.9087e+00 -1.3563e+00 +2.7737e+00 -1.5307e+00 -8.1114e-01 -3.4404e+00 +4.1916e+00 +1.3480e+00 +5.2620e-01 -9.5797e-01 -1.3258e+00 -9.6671e-01 -3.5589e+00 -3.1071e-01 +2.2777e-01 +7.5308e-01 +4.2326e+00 +2.4616e+00 -4.7221e+00
