% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.706313607e+07 +2.706313607e+07 +2.706292619e+07 +2.706292619e+07 -1.2025e+00 -4.3249e+00 +3.8871e+00 -2.6588e+00 +4.4872e+00 +9.9955e-01 +4.5780e-02 +1.4873e+00 -1.2325e+00 +3.7560e+00 +2.5869e+00 +3.3374e+00 -2.9977e+00 -3.1246e+00 -4.1262e+00 -2.9648e+00 +6.9731e-02 +3.7436e+00 +4.0939e+00 +1.9785e-02
2 +1.429471653e+07 +1.429471653e+07 +1.429450665e+07 +1.429450665e+07 -2.0932e+00 +1.4965e+00 -3.8958e+00 +4.3141e+00 +9.9861e-01 +1.9086e+00 -2.4451e+00 +3.1046e+00 +4.7232e+00 -3.8842e+00 -3.5153e+00 -2.3450e-01 -2.2801e-01 +2.7972e-01 -1.4887e+00 +2.4751e+00 -1.8746e+00 +4.9632e+00 +1.8712e+00 +3.4639e+00
3 +9.262330927e+06 +9.262330927e+06 +9.262121047e+06 +9.262121047e+06 +3.3535e+00 -1.7254e+00 -2.6369e+00 -2.3223e+00 +3.7046e+00 -1.7964e+00 -3.4242e+00 +3.8285e+00 +1.9485e+00 +2.0286e+00 -1.3590e+00 +9.2865e-01 -2.1177e+00 +2.5621e+00 +4.6798e+00 -3.2787e+00 +1.6924e-01 -1.8289e-01 -4.4194e+00 +5.5274e-01
6 +2.788921549e+06 +2.788921549e+06 +2.788711669e+06 +2.788711669e+06 -4.8216e+00 +2.4406e+00 -4.2027e+00 -4.7870e+00 -2.2045e+00 -1.4013e+00 -1.3592e+00 -2.1576e+00 -3.8483e+00 -3.1195e+00 -4.8501e+00 -3.8148e+00 +2.6172e+00 -1.9489e+00 -1.1967e+00 -2.2442e+00 -1.8910e-01 +3.1916e+00 -4.0642e+00 +2.0632e+00
26 +2.508869220e+06 +2.508869220e+06 +2.508659340e+06 +2.508659340e+06 -4.9195e+00 +8.8155e-01 +8.7243e-02 +4.4296e+00 -3.0121e+00 +4.5499e+00 +4.2979e+00 -2.1807e+00 +3.3231e+00 -4.9622e+00 +7.7594e-01 +2.1735e+00 -9.7906e-01 +9.5603e-01 -1.7165e+00 +2.0699e+00 -2.1094e+00 +3.1858e+00 -2.1349e+00 +1.4263e+00
91 +9.477918783e+05 +9.477918783e+05 +9.475819983e+05 +9.475819983e+05 -3.1503e+00 +1.1404e+00 -1.5821e+00 -1.6389e+00 -2.3441e+00 -2.8772e+00 +3.1310e+00 +1.9767e-02 +1.9544e+00 -4.1321e+00 -7.1918e-01 +1.0911e+00 +1.4553e-01 -7.5923e-01 -1.7108e+00 -2.0069e+00 -1.5522e+00 +2.5776e+00 -1.5316e+00 +2.2127e+00
165 +5.256638872e+05 +5.256638872e+05 +5.254540072e+05 +5.254540072e+05 -4.7285e+00 +1.4071e+00 -6.5735e-01 +7.4056e-01 -1.8586e+00 +2.7051e+00 +3.2469e+00 -1.7995e+00 +1.0695e+00 -3.0559e+00 -6.4331e-01 +7.8349e-01 +1.1846e+00 -4.8528e-01 -1.9975e+00 -1.8761e+00 -1.8769e+00 +2.8329e+00 -2.6929e+00 +1.9699e+00
284 +3.978928851e+05 +3.978928851e+05 +3.976830051e+05 +3.976830051e+05 -4.6678e+00 +1.3848e+00 -1.0269e+00 +7.2586e-01 -2.2978e+00 +2.7333e+00 +2.6205e+00 -1.7575e+00 +1.3414e+00 -3.3435e+00 -6.7194e-01 +8.2972e-01 +1.3789e+00 -5.6700e-01 -1.8326e+00 -1.9330e+00 -2.0813e+00 +2.7755e+00 -2.6296e+00 +1.9404e+00
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.115380673e+07 +7.115380673e+07 +7.115371464e+07 +7.115371464e+07 +2.4447e+00 +1.1367e-01 +5.0973e-01 -4.1287e+00 +3.0143e+00 -2.9055e+00 +3.4256e+00 -4.3848e-01 -1.0838e+00 +3.3503e-01 -5.7947e-01 -2.4145e+00 +1.8631e+00 -6.4117e-01 -8.1956e-01 +4.9165e-02 +1.2210e+00 -3.8428e+00 -4.2388e+00 +4.8298e+00
2 +3.672876992e+07 +3.672876992e+07 +3.672867783e+07 +3.672867783e+07 +4.9168e+00 -1.2093e+00 -4.6261e+00 -3.5538e+00 -3.5560e+00 +4.0515e+00 +1.3690e+00 -1.5307e-01 -2.6543e+00 -1.5252e+00 +2.9256e+00 +3.6921e+00 -9.6438e-01 -4.1618e+00 +2.3869e+00 +1.9208e+00 +2.9163e+00 -2.0618e+00 -4.1595e+00 +1.4514e+00
4 +1.141780468e+07 +1.141780468e+07 +1.141771259e+07 +1.141771259e+07 -9.4551e-01 +6.6584e-02 +5.6249e-01 -4.5088e+00 -2.9998e+00 +2.0273e+00 -4.8156e+00 +4.4902e+00 -2.1066e+00 +4.5810e+00 +2.4672e+00 +3.7915e+00 +3.3686e+00 -4.4207e+00 +2.6417e+00 +1.3489e+00 -4.2778e+00 -5.7125e-02 +3.3514e+00 -3.9940e+00
20 +7.816037867e+06 +7.816037867e+06 +7.815945777e+06 +7.815945777e+06 +1.7203e+00 +4.2694e+00 +1.8854e+00 +4.6418e+00 -3.6991e+00 -1.8383e+00 -4.7062e+00 +3.6186e+00 -2.7731e+00 -1.0480e+00 +3.3096e+00 +3.3696e+00 +4.7982e+00 -4.6108e+00 +4.7802e+00 -4.6088e-01 -4.8335e+00 -1.3404e-02 -3.9424e-01 -2.5892e-01
