% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.140029454e+01 +9.140029454e+01 +1.627502945e+02 +1.627502945e+02 -2.1483e+00 +9.1272e-01 +3.0248e+00 -4.4613e+00 +2.5107e+00 +2.3104e+00 +4.6085e+00 -2.6852e+00 +1.7811e+00 -1.9882e+00 +6.1481e-01 +3.7257e+00 -4.6718e+00 -1.1110e+00 -1.5017e+00 +2.0102e+00 +4.8446e+00 +3.5269e+00 -2.7642e+00 -2.1514e+00
3 +5.523631766e+01 +5.523631766e+01 +1.265863177e+02 +1.265863177e+02 -4.0400e+00 -1.8458e+00 +4.7447e+00 +8.6131e-01 +3.4164e+00 -2.1079e+00 -4.1217e+00 -2.8674e+00 +3.6968e+00 +4.4915e+00 +2.3460e+00 -3.5663e+00 -2.5058e+00 -2.3793e+00 -1.3329e+00 -3.1901e+00 -2.9838e+00 +2.2131e+00 +2.4086e+00 +2.4117e+00
18 +2.628436677e+01 +2.628436677e+01 +9.763436677e+01 +9.763436677e+01 -1.5080e+00 -4.2917e+00 -2.8874e-02 +4.6742e+00 +2.1219e-01 -2.4750e-01 +5.7214e-01 -4.0655e+00 -5.3409e-01 +4.0063e-01 +2.4920e+00 +2.3914e+00 -2.8587e-01 +2.2444e+00 +4.0574e+00 -6.1315e-01 +3.2154e+00 -1.9053e+00 +2.6479e-02 -2.3692e-01
177 +2.395474257e+01 +2.395474257e+01 +9.530474257e+01 +9.530474257e+01 -1.4702e+00 -4.2707e+00 +5.5466e-01 +3.1501e+00 +1.9046e-01 -1.5172e+00 +5.1784e-01 -3.9955e+00 -5.4485e-01 +3.4120e-01 +2.5036e+00 +2.3906e+00 -2.8167e-01 +1.5659e+00 +4.0568e+00 -6.1770e-01 +3.2071e+00 -1.8847e+00 +9.3238e-02 -3.2895e-01
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.163388209e+01 +6.163388209e+01 -2.935861179e+02 -2.935861179e+02 -1.1775e+00 -1.0296e+00 +2.7114e+00 +1.4626e+00 +1.2309e+00 +3.5525e+00 +3.9747e+00 +8.1373e-01 +2.0503e+00 -4.9002e+00 -4.1117e+00 +4.5743e+00 -2.2219e+00 +2.8289e+00 +1.2661e+00 +3.3507e+00 -1.2421e+00 +1.8610e-01 -1.9626e+00 -1.4144e-01
26 +3.892569415e+01 +3.892569415e+01 -3.162943058e+02 -3.162943058e+02 -2.8322e+00 -2.7077e+00 -4.4975e+00 +4.7545e+00 -8.9640e-01 -1.8203e+00 +4.3140e+00 +3.5129e+00 +1.7341e+00 -1.1896e+00 -1.9313e-01 +3.0902e+00 -7.8844e-01 -2.6707e+00 -4.5797e+00 +3.6680e+00 -5.9541e-02 -2.7654e+00 +2.3164e+00 -3.9179e+00
194 +2.200528345e+01 +2.200528345e+01 -3.332147165e+02 -3.332147165e+02 -2.6638e+00 -2.6661e+00 -4.3531e+00 +4.6626e+00 -8.9366e-01 -6.1279e-01 +4.0373e+00 +3.5391e+00 +1.8668e+00 -1.1902e+00 +3.5833e-01 +3.0196e+00 -1.6793e+00 -2.3635e+00 -4.3113e+00 +3.5932e+00 -1.2491e+00 -2.7516e+00 +2.3485e+00 -3.3062e+00
294 +1.562596915e+01 +1.562596915e+01 -3.395940309e+02 -3.395940309e+02 -2.6669e+00 -2.6321e+00 -4.1701e+00 +4.6816e+00 -7.5712e-01 -8.0269e-01 +4.0436e+00 +3.4541e+00 +1.7736e+00 -1.2151e+00 +1.9256e-01 +2.8476e+00 -1.2940e+00 -1.8005e+00 -4.2320e+00 +3.5813e+00 -1.0110e+00 -2.7004e+00 +2.3210e+00 -3.3953e+00
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
