% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.773605989e+04 +3.773605989e+04 +3.718955989e+04 +3.718955989e+04 -3.0922e-01 +1.8970e+00 +4.0085e+00 +3.3666e+00 +2.6622e-01 +3.4181e+00 -9.0269e-01 +1.3916e+00 -1.9904e+00 +2.3768e+00 +3.6619e+00 -3.1842e+00 +1.1999e+00 -2.8080e+00 -1.3030e+00 -2.4662e+00 +4.2162e+00 -1.8781e+00 -5.1837e-01 +1.7251e-01
43 +2.157993722e+04 +2.157993722e+04 +2.103343722e+04 +2.103343722e+04 -6.9212e-01 +1.8991e+00 +4.0695e+00 -1.1157e-01 +2.0309e-01 +3.3900e+00 -1.3940e+00 -3.2415e-01 +1.3120e+00 +2.5175e+00 +3.0282e+00 -5.8064e-01 +1.6109e+00 -3.0486e+00 -8.2730e-01 -2.0979e+00 +4.0144e+00 +9.0854e-01 -3.1360e+00 +1.3841e+00
87 +9.839568923e+03 +9.839568923e+03 +9.293068923e+03 +9.293068923e+03 -1.4113e+00 +4.5997e-01 +3.1200e+00 +1.7732e+00 +1.0582e+00 +3.3683e+00 -2.0637e+00 +2.5765e+00 -1.5749e+00 +1.1393e+00 +2.3414e+00 -1.5914e+00 -4.9036e-01 -1.2776e+00 -2.3632e-02 -2.1685e+00 +6.8494e-01 -5.9191e-01 -1.7338e+00 +1.2330e+00
243 +6.202760928e+03 +6.202760928e+03 +5.656260928e+03 +5.656260928e+03 -4.7064e-01 +4.2625e-01 +1.5070e+00 +1.7626e+00 +1.0684e+00 +2.2981e+00 -2.6861e+00 +2.3758e+00 -1.5889e+00 +1.5477e+00 +2.4380e+00 -1.5985e+00 -4.2186e-01 -2.4141e+00 +8.1538e-01 -1.4274e+00 +2.5117e+00 -7.7771e-01 -1.3304e+00 +1.2598e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.109390987e+05 +1.109390987e+05 +1.119390987e+05 +1.119390987e+05 -4.5734e+00 +2.4041e+00 -1.8969e+00 +3.3636e+00 +4.7236e+00 +2.3345e+00 +3.8309e+00 -3.5142e-01 -3.4160e-01 -1.5173e+00 -4.4702e+00 -6.7229e-01 -4.8072e-01 -6.3172e-01 -1.8046e+00 +1.4604e+00 +1.2877e+00 +2.4263e+00 -4.1583e+00 -1.4413e+00
5 +9.562302548e+04 +9.562302548e+04 +9.662302548e+04 +9.662302548e+04 +1.9209e+00 -1.2089e-01 -4.4337e+00 +3.7705e+00 -4.8062e+00 -3.9397e+00 -4.9087e-01 +3.6439e+00 -3.8229e+00 -3.1211e+00 -8.0030e-01 -4.8878e+00 -3.2772e+00 -2.6580e-01 -3.0671e+00 -1.0651e+00 +4.2498e+00 -2.3483e+00 -1.2981e+00 +3.5703e+00
22 +6.092131815e+04 +6.092131815e+04 +6.192131815e+04 +6.192131815e+04 +4.6752e+00 +4.2294e+00 -4.9679e+00 +3.1669e+00 +9.2402e-01 +3.3119e+00 +2.4341e+00 -4.2628e+00 -4.9584e+00 +2.9132e+00 -2.0699e+00 -7.7071e-01 -2.6795e-01 -4.4478e+00 +2.7964e+00 -4.5907e+00 +1.2600e+00 -5.9612e-01 -3.7689e+00 +1.4020e+00
30 +2.870516898e+04 +2.870516898e+04 +2.970516898e+04 +2.970516898e+04 -4.3713e+00 +6.6632e-03 -2.3238e+00 -4.4729e+00 +2.0228e-01 -2.3075e+00 +1.9738e+00 +1.6538e+00 +2.9116e+00 -4.8517e+00 -2.2218e+00 -2.2507e+00 +3.2098e-01 -2.6371e+00 +1.4037e+00 -2.6613e+00 -2.5621e+00 +9.1679e-02 -4.1164e+00 +2.2572e-01
62 +2.339524002e+04 +2.339524002e+04 +2.439524002e+04 +2.439524002e+04 +2.5628e+00 +2.8988e+00 -3.8905e+00 +1.7256e+00 +7.6139e-01 +2.8800e+00 +2.2669e+00 -3.0195e+00 -4.3743e+00 -2.0266e+00 -2.2085e+00 -1.3148e+00 +2.0322e-01 -3.4292e+00 +1.4083e+00 -3.7252e+00 -1.8892e+00 -1.2115e-01 -3.9982e+00 +4.0989e-01
