% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.434689184e+02 +9.434689184e+02 +1.046078918e+03 +1.046078918e+03 -2.0466e+00 +5.2988e-01 +3.1125e+00 +4.7827e+00 +4.9267e+00 -4.6669e+00 -1.6118e+00 +2.3412e+00 -2.7281e+00 +3.4786e+00 +2.6988e+00 -3.4022e+00 -2.9269e+00 +2.1393e+00 +4.9159e+00 +4.2445e+00 -4.9749e+00 -4.9483e+00 -1.1776e+00 -1.4113e+00
42 +5.944461648e+02 +5.944461648e+02 +6.970561648e+02 +6.970561648e+02 -2.9548e+00 -1.3624e+00 +2.7511e+00 +3.1866e-01 +1.5274e+00 +4.3863e+00 -1.6265e+00 +1.5144e+00 -1.2261e+00 -2.8767e+00 +4.1085e+00 +1.1997e+00 -1.6582e+00 -1.7998e+00 +5.6939e-01 -1.0168e+00 -6.8858e-01 +7.5534e-01 +4.5713e+00 -9.5006e-01
117 +3.944384013e+02 +3.944384013e+02 +4.970484013e+02 +4.970484013e+02 -2.9114e+00 -1.5836e+00 -2.4077e+00 +6.0774e-03 +6.3367e-01 +3.6852e-01 +4.4311e-01 +1.4469e+00 +6.2561e-02 -9.1292e-01 +1.5023e+00 +1.5856e-01 -3.2330e+00 -2.2671e+00 +3.4013e-01 +4.4421e-02 +1.4578e+00 +1.7199e+00 -1.3369e+00 -2.0007e+00
3423 +2.504598783e+02 +2.504598783e+02 +3.530698783e+02 +3.530698783e+02 -2.9115e+00 -1.5831e+00 -2.3866e+00 +6.3092e-03 +6.2882e-01 +3.6945e-01 +4.0864e-01 +1.4147e+00 +6.2528e-02 -9.1326e-01 +1.5043e+00 +1.6064e-01 -3.2071e+00 -2.2867e+00 +3.6256e-01 +7.4545e-01 +1.4576e+00 +1.7203e+00 -1.3387e+00 -2.0008e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.593785254e+02 +4.593785254e+02 +5.526785254e+02 +5.526785254e+02 -3.5958e+00 -2.4000e+00 -1.1066e+00 -1.5849e+00 -1.1892e+00 -1.6905e+00 -1.1613e+00 +1.4261e+00 -2.2629e+00 -4.4180e+00 -1.7053e+00 +2.5493e+00 +1.2790e+00 -5.2214e-01 +1.8127e+00 -2.0515e+00 -7.8646e-01 +2.1045e+00 -2.0091e+00 +1.9676e+00
72 +3.669451371e+02 +3.669451371e+02 +4.602451371e+02 +4.602451371e+02 +1.6767e+00 +1.8809e+00 -9.8728e-01 -9.9254e-01 -1.4032e-01 -1.1570e+00 -1.8868e+00 +7.7945e-01 -2.3804e+00 -4.2419e+00 -4.5645e-01 +2.4287e+00 +4.9613e-02 -1.6508e+00 -1.5439e+00 -4.6336e-01 +1.0981e+00 +2.4435e+00 -2.4609e+00 -1.8352e+00
248 +2.391977236e+02 +2.391977236e+02 +3.324977236e+02 +3.324977236e+02 +5.3373e-01 -1.3626e+00 -9.1913e-01 -1.3114e+00 -7.9521e-01 -1.4820e+00 -1.3381e+00 +1.7587e-01 -2.4485e+00 -4.0657e+00 +1.1881e+00 +2.4616e+00 +4.6602e-01 -1.4003e+00 -9.5814e-01 -7.3270e-01 -5.6269e-02 +4.0214e-01 +1.6567e-01 -7.1788e-01
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.452897654e+02 +7.452897654e+02 +7.589297654e+02 +7.589297654e+02 -4.7439e+00 -4.7506e+00 +2.9269e+00 +2.5253e+00 -3.2615e-01 +1.1667e+00 +3.2922e+00 -1.1648e+00 +1.8013e+00 +4.3481e+00 -1.8990e+00 +2.5235e+00 +4.6298e+00 -2.9677e+00 -2.9439e+00 -2.1755e+00 +1.5317e+00 +1.8576e+00 -3.8748e-01 +1.1036e+00
41 +5.804039608e+02 +5.804039608e+02 +5.940439608e+02 +5.940439608e+02 +2.8105e+00 -2.7514e+00 -2.7795e-01 +2.4784e+00 +4.1849e-01 -1.6472e+00 +1.4816e+00 -2.7621e+00 -1.5331e+00 +4.0088e+00 -2.1409e+00 +7.5741e-01 +3.4355e+00 +1.9982e+00 -1.8885e+00 -2.0482e+00 -1.7410e+00 +1.1148e+00 -1.7333e+00 +1.3689e+00
95 +3.811139678e+02 +3.811139678e+02 +3.947539678e+02 +3.947539678e+02 +6.8052e-01 -7.3791e-01 -2.7504e+00 -7.1495e-02 -1.4136e+00 -1.5642e+00 +4.3820e-01 -1.7303e+00 -1.4046e+00 +1.2855e+00 -1.9006e+00 -1.8175e+00 +1.6340e+00 +1.4504e+00 -5.3782e-01 +7.6394e-01 -1.5089e+00 -7.2661e-02 -1.7032e+00 +2.2407e-01
682 +2.498697051e+02 +2.498697051e+02 +2.635097051e+02 +2.635097051e+02 +1.7444e+00 -6.8962e-01 -2.0251e+00 -2.2303e-01 +1.4969e+00 +1.8640e-01 +1.9376e+00 -1.0968e+00 -1.2490e+00 +6.3863e-01 -2.6704e+00 -8.4966e-01 -1.8062e-01 +2.0902e+00 -1.5236e+00 +1.6100e+00 +1.2939e+00 +1.8436e-02 -5.0481e-01 -2.8785e-01
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.564673776e+02 +7.564673776e+02 +9.512673776e+02 +9.512673776e+02 -2.0878e+00 -2.9829e+00 +2.7888e+00 +4.4059e+00 -1.8868e+00 -4.3414e-01 +2.9541e+00 -1.5703e+00 +3.4488e+00 -1.8106e+00 -3.9452e+00 +4.7140e-01 +2.3797e+00 -3.0487e-02 +4.5085e+00 -1.2273e+00 +2.1556e+00 +2.0020e+00 -3.2949e+00 +2.5241e+00
6 +5.829390159e+02 +5.829390159e+02 +7.777390159e+02 +7.777390159e+02 -2.8628e+00 +1.7164e+00 +9.2230e-01 -3.2305e+00 +3.2634e-01 -4.5752e+00 +1.9803e-01 +3.0283e+00 +4.1608e-01 +1.9191e+00 +5.8616e-01 -2.6342e+00 +4.6770e+00 -6.0549e-01 +8.4694e-01 -3.8755e+00 +6.3003e-01 -4.0276e+00 -3.4582e+00 -1.2311e+00
57 +3.864213309e+02 +3.864213309e+02 +5.812213309e+02 +5.812213309e+02 -1.9358e+00 -1.5882e+00 +2.0115e+00 -2.8022e+00 -3.0823e+00 -1.1205e+00 -1.5194e+00 +1.6385e+00 +1.3130e+00 +1.3818e+00 +2.3804e-02 -1.0861e+00 +3.5481e-01 -1.1946e+00 -1.7797e-01 -5.9010e-01 -2.7062e+00 +3.3260e-01 +8.1628e-02 +2.1380e+00
810 +2.510036285e+02 +2.510036285e+02 +4.458036285e+02 +4.458036285e+02 -1.8799e+00 -5.8973e-01 +2.4963e+00 -1.6538e+00 -1.1907e+00 -6.4951e-01 -2.8111e-01 +1.4070e+00 +3.2626e-01 +1.2409e+00 +2.5656e-01 -5.8297e-01 +3.0725e+00 -2.2363e+00 -6.9286e-01 -5.8717e-01 -1.3785e+00 -4.9118e-01 +1.1631e+00 +1.6182e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.800097953e+02 +6.800097953e+02 +5.464197953e+02 +5.464197953e+02 +1.7822e-02 -1.3627e+00 -1.0962e-01 -8.9012e-01 +4.4799e+00 -4.2314e+00 -9.7641e-01 -2.4000e+00 +2.3536e+00 -3.9120e+00 -2.5955e-02 +3.8568e+00 +1.3804e+00 +2.1865e+00 -2.8094e+00 +4.8084e-01 +2.6850e+00 -2.8823e+00 +1.8129e+00 +4.3735e+00
