% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.113698286e+06 +6.113698286e+06 +6.113774556e+06 +6.113774556e+06 -2.2855e+00 -5.8316e-02 +4.1490e+00 +1.3107e+00 -3.4989e+00 +1.5025e+00 +2.3151e+00 +4.0106e+00 -1.9973e+00 -4.6063e+00 +4.0302e+00 +9.3994e-01 -2.3171e+00 +1.6561e+00 +3.6023e+00 +2.6572e+00 -2.0765e+00 -4.3732e+00 +6.5416e-01 +3.6625e+00
4 +1.282923097e+05 +1.282923097e+05 +1.283685797e+05 +1.283685797e+05 -8.0329e-01 +1.4713e+00 +2.2077e-01 +4.7341e+00 +2.9755e+00 -1.1826e+00 +1.9237e+00 -2.4091e+00 -4.7858e+00 -4.0680e+00 +1.8928e+00 +4.1261e+00 +3.9202e+00 +4.5176e-01 +3.4015e+00 +7.1762e-01 +2.6303e+00 -3.9656e+00 -3.9543e+00 +3.1467e+00
5 +2.698079898e+04 +2.698079898e+04 +2.705706898e+04 +2.705706898e+04 +2.3515e+00 -3.9283e+00 -7.6573e-01 -4.8507e+00 -1.4034e+00 +4.9905e+00 +2.5914e+00 +3.3890e+00 +1.5502e+00 -3.9496e-01 -2.8179e+00 +4.6505e-01 -7.1996e-01 -4.4795e+00 +3.0860e+00 -4.9731e+00 -4.3123e+00 -2.5411e+00 +5.5002e-01 -1.9214e+00
21 +1.800586008e+04 +1.800586008e+04 +1.808213008e+04 +1.808213008e+04 +1.8024e-01 -2.6490e+00 -1.0473e+00 +4.2125e+00 +3.7503e+00 +3.4812e+00 -1.9605e+00 +9.6412e-01 -3.5657e+00 +4.3291e+00 -3.6935e+00 +1.3224e+00 -1.6567e+00 +1.0553e+00 -4.9209e+00 +4.8063e+00 +2.0950e+00 +2.0792e+00 -1.0314e+00 +3.8074e+00
44 +4.113947537e+03 +4.113947537e+03 +4.190217537e+03 +4.190217537e+03 -2.3012e-01 -2.2173e-01 -5.1177e-01 +4.4202e+00 +3.2207e+00 -5.8417e-01 -1.0087e+00 -2.3725e+00 -4.2490e+00 +2.5537e+00 -2.8344e+00 +2.6185e+00 +2.3833e+00 +6.8812e-01 -4.2255e+00 +2.6074e+00 +2.4354e+00 +7.2229e-01 -3.7494e+00 +3.3675e+00
68 +8.071374572e+02 +8.071374572e+02 +8.834074572e+02 +8.834074572e+02 +3.2729e-01 -1.7280e+00 -9.1291e-01 +4.1114e+00 -1.9006e+00 +3.0614e+00 -3.9584e+00 +2.1916e-01 -4.0122e+00 +4.7959e+00 +5.2817e-01 +1.5638e+00 -3.0459e+00 +6.9979e-01 -4.0432e+00 -1.2867e+00 +2.9574e+00 +2.5995e-01 -9.1982e-01 +1.6001e+00
84 +3.817060559e+02 +3.817060559e+02 +4.579760559e+02 +4.579760559e+02 +3.2729e-01 -1.7280e+00 -9.1291e-01 +4.1114e+00 -1.9006e+00 +3.0614e+00 -3.9584e+00 +6.5719e-01 -4.0122e+00 +4.7959e+00 +5.2817e-01 +1.5638e+00 -3.0459e+00 +6.9979e-01 -4.0432e+00 -1.2867e+00 +2.9574e+00 +2.5995e-01 -9.1982e-01 +1.6001e+00
131 +2.234099222e+02 +2.234099222e+02 +2.996799222e+02 +2.996799222e+02 +2.6498e-01 -1.9060e+00 -8.5244e-01 +3.2017e+00 +1.7155e-01 +1.7881e+00 -2.9881e+00 +7.3627e-01 -2.7216e+00 +3.9417e+00 -4.2127e-01 +1.6115e+00 -3.0449e+00 +9.6747e-01 -2.9167e+00 -3.3368e-01 +2.5591e+00 +8.5170e-01 -1.6344e+00 +2.4856e+00
257 +1.191988786e+02 +1.191988786e+02 +1.954688786e+02 +1.954688786e+02 +3.3299e-01 -1.8164e+00 -9.0085e-01 +3.6643e+00 +1.6007e+00 +2.1569e+00 -2.7651e+00 +7.3307e-01 -2.6959e+00 +3.9444e+00 +2.9559e-01 +1.4287e+00 -2.4391e+00 +5.4844e-01 -3.3602e+00 -8.7352e-01 +2.0034e+00 +4.3352e-01 -1.3404e+00 +1.2395e+00
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.726029319e+03 +8.726029319e+03 +8.703479319e+03 +8.703479319e+03 +2.9169e+00 +2.1955e+00 +3.6664e+00 +1.7478e+00 -1.9208e+00 +3.1609e+00 +6.1213e-01 +4.2950e+00 +4.9230e+00 -4.5941e+00 +3.7985e-01 +3.8316e+00 +1.1285e-01 +1.6984e+00 -5.7574e-01 -9.0014e-01 -1.2400e+00 +3.3459e+00 +2.4689e+00 -1.2020e-01
51 +1.100345962e+03 +1.100345962e+03 +1.077795962e+03 +1.077795962e+03 +3.0006e+00 -6.8562e-01 -2.3240e+00 +1.9038e+00 +2.1254e+00 +3.8134e+00 -6.4316e-01 +4.1551e+00 +4.2569e+00 -8.9680e-02 -1.5396e+00 +3.5321e+00 +1.1276e+00 -2.4430e+00 +3.8124e-01 -3.9395e+00 +2.7291e+00 +3.1425e+00 +1.0743e+00 -7.6093e-01
54 +4.610512954e+02 +4.610512954e+02 +4.385012954e+02 +4.385012954e+02 +2.2477e+00 +2.6570e+00 +1.1631e+00 +1.6460e+00 -1.2811e+00 +3.0775e+00 +3.9195e+00 +4.2883e+00 +5.6317e-02 -1.5784e+00 +5.1651e-01 +1.7382e+00 +1.9985e+00 +2.1655e+00 -8.8901e-01 -9.2191e-01 +1.4028e+00 +2.1990e+00 +1.6233e-01 +1.1434e+00
152 +2.822878487e+02 +2.822878487e+02 +2.597378487e+02 +2.597378487e+02 +2.2165e+00 +2.3688e+00 +1.3921e+00 +1.5115e+00 -9.1213e-01 +3.0114e+00 +2.6655e+00 +4.2693e+00 +1.5716e-01 -1.3195e+00 +5.0534e-01 +1.7985e+00 +8.6803e-01 +2.1030e+00 -1.5764e+00 -1.0023e-01 +1.2736e+00 +2.2089e+00 +3.9061e-01 +1.2116e+00
161 +2.211688510e+02 +2.211688510e+02 +1.986188510e+02 +1.986188510e+02 +2.2362e+00 +2.5689e+00 +1.2376e+00 +1.5522e+00 -9.7840e-01 +3.0214e+00 +3.1768e+00 +4.2766e+00 +1.0689e-01 -1.5128e+00 +5.0601e-01 +1.7849e+00 +1.0619e+00 +2.1471e+00 -9.1250e-01 -6.6131e-01 +1.3501e+00 +2.2070e+00 +1.9158e-01 +1.0512e+00
% function evaluation | noise-free fitness - Fopt (1.366000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.739190774e+06 +1.739190774e+06 +1.739204434e+06 +1.739204434e+06 +1.3031e+00 -2.7935e+00 -8.4631e-01 -2.8104e+00 +3.4507e+00 +2.2634e+00 +4.9326e+00 +3.9063e+00 +1.0887e+00 +3.5544e-01 +2.4610e+00 +1.6579e+00 +3.9613e+00 -1.0275e+00 +4.0872e+00 +1.3387e+00 +1.0120e+00 +3.1502e+00 -2.1148e+00 -4.9199e+00
8 +1.265910073e+05 +1.265910073e+05 +1.266046673e+05 +1.266046673e+05 -4.0273e+00 +2.7740e-01 +3.8849e+00 +2.8197e+00 -2.4783e+00 +8.7282e-02 -1.7134e+00 -4.0278e+00 +5.4510e-01 +2.6349e+00 -7.3388e-01 -6.6030e-01 +9.6234e-02 +4.1531e+00 +2.1848e+00 +4.9374e+00 -1.6433e+00 -3.8682e-01 +2.1828e+00 -3.2793e+00
9 +3.508598756e+04 +3.508598756e+04 +3.509964756e+04 +3.509964756e+04 -3.4266e+00 +2.7815e+00 +2.8133e+00 +1.4320e-01 -1.1730e+00 -1.7545e+00 +2.2722e+00 -5.4282e-01 +3.7811e+00 -3.5262e+00 -9.0104e-01 +2.8663e+00 -2.4375e+00 -1.1675e+00 +4.3553e-01 -1.9061e+00 -2.6154e+00 +1.3396e+00 -3.2766e+00 +1.7871e+00
11 +1.069866796e+04 +1.069866796e+04 +1.071232796e+04 +1.071232796e+04 -2.4649e+00 -4.8123e+00 -3.8349e+00 -8.1836e-01 +2.3021e+00 -2.8502e-01 +1.3459e+00 +2.2613e+00 +4.6204e+00 -4.1610e+00 -5.0131e-02 -2.7515e+00 -2.2228e+00 +2.4979e+00 -4.8101e-01 -3.3435e+00 +2.1241e+00 +4.1192e+00 -5.4757e-01 +3.4600e+00
