% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.550963605e+07 +2.550963605e+07 +2.550958111e+07 +2.550958111e+07 -3.3448e+00 +1.6325e+00 +4.0882e+00 -1.3925e+00 -6.4545e-01 +1.9574e+00 +3.7846e+00 +3.8158e+00 +4.7544e+00 +4.2121e+00 +1.5374e-01 -4.8838e+00 -2.3278e+00 +6.4637e-01 -3.1398e+00 -3.4186e+00 +2.4245e-01 -2.6290e+00 +4.5389e+00 -3.7873e+00
2 +1.561440970e+07 +1.561440970e+07 +1.561435476e+07 +1.561435476e+07 +4.2617e+00 -4.6547e+00 +1.0018e+00 -2.9123e-01 -3.6800e+00 -3.7860e+00 +1.9007e-01 +2.9032e+00 +4.1934e+00 -4.4954e+00 -1.1177e+00 +3.3706e+00 +3.5412e+00 -3.2687e+00 -4.9204e+00 -4.4551e+00 -4.9103e+00 +2.6405e+00 +3.0949e+00 -1.8412e+00
7 +3.927353600e+06 +3.927353600e+06 +3.927298660e+06 +3.927298660e+06 -1.8223e+00 +6.2292e-01 -2.6763e+00 -1.6677e+00 +3.8662e+00 +4.8104e+00 +5.3461e-01 +2.9041e+00 -3.8947e+00 +3.5558e+00 -6.9687e-01 +2.8541e+00 +2.4068e+00 -4.2469e+00 -1.8128e+00 -3.0382e+00 +1.5059e+00 -3.8111e-01 +2.1338e+00 +2.2682e+00
19 +1.487170599e+06 +1.487170599e+06 +1.487115659e+06 +1.487115659e+06 -3.1979e+00 -4.1456e+00 -4.5813e+00 +8.9549e-01 +3.3523e+00 -7.1925e-01 -2.8546e+00 +1.5681e+00 -2.0355e+00 -2.1219e+00 -4.9736e+00 +1.7273e+00 +3.7217e+00 +2.3322e+00 -1.1149e+00 +2.0362e+00 -4.8470e+00 -4.3244e+00 -2.5184e+00 -4.2946e+00
128 +9.462476898e+05 +9.462476898e+05 +9.461927498e+05 +9.461927498e+05 -1.8837e+00 -6.3856e-01 -2.9894e+00 -5.8857e-01 +3.7160e+00 +2.3489e+00 -1.6848e+00 +1.2119e+00 -2.0073e+00 +5.6574e-01 -3.2065e+00 +2.2415e+00 +3.1114e+00 +2.3971e-01 -1.7680e+00 +3.8137e-02 -8.3667e-01 -3.6114e+00 -2.4611e+00 -1.8508e+00
325 +6.269679805e+05 +6.269679805e+05 +6.269130405e+05 +6.269130405e+05 -2.0885e+00 -2.0893e+00 -2.9483e+00 -4.4473e-01 +3.6048e+00 +1.0511e+00 -1.6995e+00 +1.6524e+00 -3.0547e-01 +5.9833e-01 -2.8415e+00 +2.0497e+00 +3.0151e+00 +1.1106e-01 -1.7278e+00 +1.3064e+00 -1.0790e+00 -2.7389e+00 -1.8636e+00 -1.7716e+00
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.538705216e+07 +3.538705216e+07 +3.538711129e+07 +3.538711129e+07 -1.3857e+00 +4.4546e+00 -4.3461e+00 +2.8884e-01 -3.8338e+00 -2.3058e+00 -4.3808e+00 +4.9183e+00 +6.7800e-01 -4.9287e+00 -4.9293e+00 -3.3812e+00 -3.8877e+00 -5.9846e-01 -5.2381e-02 +2.5127e+00 +4.6525e+00 +4.4596e+00 +4.2595e+00 +1.7453e+00
2 +1.777921434e+07 +1.777921434e+07 +1.777927347e+07 +1.777927347e+07 +1.3528e+00 +4.2806e+00 -1.9328e+00 -1.4926e+00 +3.2385e+00 +2.2238e+00 -4.7783e+00 -1.9135e+00 -3.7946e+00 +3.5852e+00 -2.3527e+00 -1.9160e+00 -1.1794e+00 -3.9519e+00 +4.9037e+00 +5.4422e-01 -5.6623e-01 -3.8331e+00 -2.5510e+00 -1.5848e-01
6 +1.436877144e+07 +1.436877144e+07 +1.436883057e+07 +1.436883057e+07 -3.7099e-01 +8.6274e-01 +4.0180e+00 -4.9101e+00 +6.9033e-01 -3.1004e+00 +9.3197e-01 +2.8656e+00 -1.1215e+00 -1.5261e+00 -2.4302e+00 -3.1757e+00 +3.6455e+00 +4.8509e+00 -3.3960e+00 -2.0925e+00 +3.3917e+00 +2.4230e-01 -3.0231e+00 +2.6413e+00
8 +5.620342927e+06 +5.620342927e+06 +5.620402057e+06 +5.620402057e+06 +3.9411e+00 -3.4792e+00 -5.7584e-01 -2.3123e+00 -4.7573e+00 +4.1913e+00 -1.8620e+00 +1.3435e+00 +2.7417e+00 +2.6915e+00 +2.3061e+00 -3.9531e+00 +1.9508e+00 +3.2523e+00 -1.3098e+00 -3.8495e+00 +9.6050e-01 -4.3713e+00 -3.2174e+00 +3.2423e+00
34 +3.554125396e+06 +3.554125396e+06 +3.554184526e+06 +3.554184526e+06 +1.5841e+00 -6.7572e-01 -4.9725e+00 +3.5636e+00 -3.3672e+00 +6.5836e-01 -1.8613e+00 -3.0001e+00 +1.8631e+00 +3.5024e+00 +8.2207e-01 +9.6186e-02 +4.5552e+00 -1.2960e-01 +2.4719e+00 -4.3968e+00 +4.0675e+00 -2.9629e+00 -9.3222e-01 -4.8495e-01
