% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.952694791e+01 +2.952694791e+01 -7.302305209e+01 -7.302305209e+01 -3.4975e+00 -2.4433e-01 +1.1456e+00 -3.3688e+00 +3.2802e+00 -2.2813e+00 +2.2057e+00 -7.6290e-01 +1.2114e-02 +4.4724e+00 +4.3454e+00 +1.6175e+00 +2.7367e+00 +3.9985e+00 -3.0215e+00 -3.3800e-01 +1.6522e+00 -6.0632e-01 -9.1339e-02 +8.9201e-02
5 +1.924919561e+01 +1.924919561e+01 -8.330080439e+01 -8.330080439e+01 -1.1484e+00 +8.1916e-01 +2.8571e+00 -1.2706e+00 -3.1191e+00 +2.5277e-01 -9.4796e-01 +1.7746e+00 +4.1641e-01 -3.9135e+00 -1.1806e+00 +8.3457e-01 +3.9387e+00 -4.2388e+00 -3.2982e+00 +3.3771e-02 -1.1845e+00 -5.1653e-01 -1.3202e+00 -1.3673e+00
60 +1.449262783e+01 +1.449262783e+01 -8.805737217e+01 -8.805737217e+01 +1.4341e+00 +1.4715e+00 +2.6890e+00 -2.9861e+00 -3.6236e+00 +3.2709e-01 -1.1083e-01 +1.3664e+00 +1.1081e+00 -3.1529e+00 -9.7428e-01 +5.3059e-01 -1.9346e+00 -2.2155e+00 -8.8843e-01 +2.1519e+00 +1.5869e+00 -2.4285e+00 -1.2395e+00 -1.1255e+00
122 +9.157597520e+00 +9.157597520e+00 -9.339240248e+01 -9.339240248e+01 -1.1382e+00 +1.0251e+00 -1.7433e-02 -2.6753e-01 -2.0873e+00 -2.7588e-02 +1.3290e+00 -2.2501e-01 +4.9593e-01 -1.3477e+00 -2.3205e+00 -3.3373e-01 +1.9261e+00 -7.9919e-01 -2.6473e+00 -9.3001e-01 +2.4589e-01 +2.6122e-01 +4.5047e-01 +1.0113e-02
606 +6.280518049e+00 +6.280518049e+00 -9.626948195e+01 -9.626948195e+01 -1.4970e+00 +1.4034e+00 -1.9560e-01 +8.4456e-01 -2.0309e-01 -2.1659e-01 +2.8667e-01 +1.0016e-01 +6.1399e-01 -1.6020e+00 -2.5146e+00 -6.6271e-01 +1.0156e+00 +6.5044e-01 -2.5543e+00 +8.6962e-01 +5.3269e-01 +2.0616e+00 +1.4806e-01 +7.1151e-01
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.477309706e+01 +8.477309706e+01 +1.564630971e+02 +1.564630971e+02 -4.8042e+00 +4.2771e+00 +4.7597e+00 +1.0470e+00 +7.6294e-01 +3.0596e+00 +4.4522e-01 -4.7084e+00 +4.0932e+00 +2.3434e+00 +1.9272e+00 +3.8990e+00 +1.1633e+00 +1.9803e+00 -2.7672e+00 +3.9172e+00 +3.9451e+00 +4.4047e+00 +3.4770e+00 +2.8766e+00
4 +5.379144024e+01 +5.379144024e+01 +1.254814402e+02 +1.254814402e+02 -3.4601e+00 -2.8869e+00 -3.1994e+00 -3.9659e+00 -4.6622e+00 -2.9679e+00 +2.1392e+00 +3.2802e-01 -2.8913e+00 -1.6831e+00 +8.6543e-01 +3.5263e-01 -4.0032e+00 +1.7634e-01 -4.6284e+00 +9.4521e-01 -3.5076e-01 +3.4912e+00 -2.7379e+00 +4.9219e+00
13 +3.242972019e+01 +3.242972019e+01 +1.041197202e+02 +1.041197202e+02 +3.7838e+00 -9.4352e-02 -8.0947e-01 -6.3673e-01 -1.3449e+00 -1.1691e+00 +2.2807e+00 +1.9798e+00 -1.0111e+00 -4.9763e+00 -4.3463e+00 +1.0618e+00 +3.3817e+00 -7.6724e-01 -2.5588e+00 +6.3379e-01 -4.6934e+00 +1.6138e+00 -3.2882e+00 +1.3408e+00
26 +1.583303080e+01 +1.583303080e+01 +8.752303080e+01 +8.752303080e+01 -7.4939e-01 +2.1550e+00 +4.8306e+00 +3.3988e-01 +2.3389e+00 +4.7483e+00 +6.7273e-02 +1.2766e+00 -6.9221e-01 -1.7131e+00 -4.0640e+00 -3.5886e+00 +2.4532e-01 -5.7776e-01 +2.1411e+00 +8.3116e-01 -7.8479e-01 -4.7179e+00 +1.9173e+00 +6.2251e-01
