% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.268095819e+02 +1.268095819e+02 +7.445958194e+01 +7.445958194e+01 +4.5849e-01 +2.0993e+00 -1.4392e+00 -8.4215e-01 -3.8229e+00 +1.6300e-01 -1.1765e+00 +4.3343e-01 +4.9482e+00 -4.6659e-01 +1.4111e+00 +1.4037e+00 +4.5013e-01 -2.7562e+00 +3.8123e+00 +1.8018e+00 +2.6806e+00 +4.1326e+00 -1.5362e+00 -4.9315e+00
4 +5.675812210e+01 +5.675812210e+01 +4.408122100e+00 +4.408122100e+00 +3.2843e+00 -2.6771e+00 -1.2309e+00 -5.6304e-01 -3.7406e+00 -6.5138e-01 -3.8648e+00 -1.9898e+00 -4.9841e+00 -2.9773e+00 -1.8132e+00 +6.2906e-01 -3.0751e+00 +1.2163e+00 +1.9706e+00 -1.8900e+00 +1.3960e-01 +3.4322e-01 +4.6270e+00 -5.4748e-01
41 +2.930714001e+01 +2.930714001e+01 -2.304285999e+01 -2.304285999e+01 +7.0661e-01 -1.8372e-01 -1.2409e+00 -6.6767e-01 -3.7692e+00 -3.8760e-01 -1.4111e+00 -7.0927e-01 -2.5981e+00 -1.2026e+00 +1.3208e+00 +7.4137e-01 -1.3199e+00 +1.4473e-01 +2.2051e+00 +8.7370e-02 +1.5014e+00 +1.9872e+00 +3.0449e+00 -4.9098e+00
92 +2.471453720e+01 +2.471453720e+01 -2.763546280e+01 -2.763546280e+01 +1.0824e+00 -2.5780e-01 -7.7537e-01 -1.9219e+00 -3.4622e+00 -4.2510e-01 -1.8019e+00 +8.1853e-01 -2.2500e+00 -1.0828e+00 +8.2791e-01 +5.9615e-01 +4.6847e-02 +2.9566e-01 +3.0688e+00 -6.7539e-01 +1.4754e+00 +1.2864e+00 +2.9223e+00 -4.3287e+00
% function evaluation | noise-free fitness - Fopt (-1.795400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.699019794e+01 +9.699019794e+01 -8.254980206e+01 -8.254980206e+01 +1.9150e+00 +4.7069e+00 -1.3116e+00 +1.8364e+00 +1.9476e+00 -2.2144e+00 -1.8461e+00 -1.7241e-01 -2.1331e-01 +7.4979e-01 -3.0777e+00 +1.2227e+00 -3.2160e+00 -4.7361e+00 -2.4441e-01 -4.9788e+00 -1.4230e+00 +2.6785e-02 -1.3964e+00 -3.7087e+00
25 +6.264751122e+01 +6.264751122e+01 -1.168924888e+02 -1.168924888e+02 -1.7281e+00 -4.0397e+00 -3.8695e+00 -7.8430e-01 -4.6810e+00 +3.8449e+00 -3.1497e+00 +4.6711e+00 +7.6409e-01 +4.2060e+00 -4.0448e+00 +1.4020e+00 +8.9382e-01 -9.7503e-01 +4.7387e+00 -6.7642e-01 -2.8336e+00 +4.2174e+00 +1.0577e+00 -5.5404e-01
59 +2.964044866e+01 +2.964044866e+01 -1.498995513e+02 -1.498995513e+02 +6.3942e-01 +1.4741e+00 -2.4012e+00 +4.1379e+00 +3.6062e+00 +1.6786e+00 -2.8070e-01 +2.9219e+00 -2.4806e+00 +3.5158e+00 -4.0039e+00 +3.4637e+00 +9.5970e-01 -1.5043e+00 -5.1659e-01 -1.1142e+00 -1.2649e+00 +4.3953e+00 +3.7456e+00 -1.9401e+00
85 +1.869692311e+01 +1.869692311e+01 -1.608430769e+02 -1.608430769e+02 -6.7733e-01 +1.2495e+00 +1.6762e+00 +3.9980e+00 +3.7610e+00 +4.9799e-01 +1.8102e+00 +1.0879e+00 +1.7133e-01 +3.4464e+00 +1.8614e-01 +3.3400e+00 +3.3101e-01 -8.1668e-01 -1.3576e-01 +8.2300e-01 -1.3059e+00 +3.6680e+00 +2.2280e+00 -2.5079e+00
201 +1.582991266e+01 +1.582991266e+01 -1.637100873e+02 -1.637100873e+02 -3.7708e-01 +1.4794e+00 +1.4398e+00 +3.4788e+00 +3.6889e+00 +5.2519e-01 +8.0628e-01 +1.7640e+00 -7.2058e-01 +3.2603e+00 +5.4228e-02 +3.2980e+00 +6.0238e-01 -8.8434e-01 -3.8182e-01 +2.0296e-01 -1.5282e+00 +3.7551e+00 +2.0618e+00 -1.2549e+00
% function evaluation | noise-free fitness - Fopt (7.731000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.784774606e+01 +4.784774606e+01 +1.251577461e+02 +1.251577461e+02 +3.7727e+00 -2.3708e+00 +2.6298e+00 +3.5163e-01 +5.6728e-02 -3.7568e+00 +3.3944e+00 -4.2429e+00 -8.6555e-01 -1.7850e+00 +2.1935e+00 -4.1765e+00 -1.6805e+00 +1.2845e+00 +4.6074e+00 -4.6742e+00 -3.7434e+00 -3.4388e-02 +7.5224e-01 +2.3358e+00
50 +3.408620682e+01 +3.408620682e+01 +1.113962068e+02 +1.113962068e+02 +2.8270e+00 -2.2035e+00 -1.1499e+00 +3.0874e-01 +8.0576e-01 -1.5517e+00 +3.1131e+00 -1.6877e+00 -8.1149e-01 -9.8529e-01 +1.4988e+00 -2.2401e+00 -1.7633e+00 +1.2718e+00 +9.0766e-01 -4.2192e+00 -2.9787e+00 -2.3825e-01 +7.5681e-01 -9.2560e-01
100 +2.276424492e+01 +2.276424492e+01 +1.000742449e+02 +1.000742449e+02 +2.0015e+00 -2.1521e+00 +2.8549e+00 +1.2210e-01 -5.7803e-01 -1.9694e+00 +8.2009e-01 -6.9286e-01 -3.8190e-01 +6.9152e-01 +1.6457e+00 -2.8777e+00 -4.2130e-01 +1.3065e-01 +2.6817e+00 -7.1684e-01 -1.9853e+00 +1.1193e-01 +2.1850e+00 +1.7866e+00
164 +1.583088495e+01 +1.583088495e+01 +9.314088495e+01 +9.314088495e+01 +9.9503e-01 -2.4329e+00 +1.4876e+00 +1.4506e-01 -1.7785e-01 -1.1174e+00 +1.0520e+00 -2.1564e+00 -5.2288e-01 +1.0227e+00 +1.6547e+00 -1.9261e+00 -4.3145e-01 -2.0669e-01 +1.4959e+00 -1.1246e+00 -2.1205e+00 +1.0790e-01 +2.6816e+00 +1.6514e+00
% function evaluation | noise-free fitness - Fopt (3.992000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.239776388e+02 +6.239776388e+02 +6.638976388e+02 +6.638976388e+02 +1.6022e+00 +2.2369e+00 -3.3548e+00 +4.4355e+00 -2.4894e+00 -9.0376e-02 +1.6050e+00 -3.1492e+00 -3.4312e+00 -3.7864e+00 -3.2044e+00 +2.9563e+00 +4.6151e+00 -4.6613e+00 +4.1840e+00 +7.6347e-01 -1.5053e+00 -1.4650e+00 +4.4905e+00 -4.2724e+00
2 +1.245576337e+02 +1.245576337e+02 +1.644776337e+02 +1.644776337e+02 +1.2676e+00 +3.9049e+00 -2.2501e+00 -3.0818e+00 -3.2714e-01 -8.1539e-01 -4.6543e+00 -1.4937e+00 -4.3485e+00 +3.9319e+00 -7.6219e-01 +3.4693e+00 -4.7036e+00 -4.5175e+00 -8.9269e-01 -6.3512e-01 +4.9885e-01 -9.8358e-01 -4.9508e+00 -2.9573e+00
8 +7.895448798e+01 +7.895448798e+01 +1.188744880e+02 +1.188744880e+02 -1.9171e+00 -6.0421e-01 +2.4761e+00 -5.3627e-01 +4.7475e+00 +1.6540e+00 -1.7088e+00 -4.6161e+00 +2.8797e+00 +2.1808e+00 +1.8379e+00 -4.9140e+00 -4.3734e+00 +2.1506e+00 -1.7336e+00 +2.1744e+00 +1.8621e+00 +3.7791e+00 +1.7947e+00 -3.6652e+00
