% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.554809706e+03 +1.554809706e+03 +1.647749706e+03 +1.647749706e+03 +2.4076e+00 -4.8675e+00 +7.2322e-01 +3.7898e+00 -1.7318e+00 +1.0889e+00 +2.4920e-01 -4.7705e+00 -4.1818e+00 +9.2004e-01 +2.3006e+00 -4.0179e+00 -2.5929e+00 +4.4224e+00 -4.8145e+00 +4.6116e+00 +3.2332e+00 -4.0907e-01 +3.0241e+00 -1.6011e+00
4 +9.658323736e+02 +9.658323736e+02 +1.058772374e+03 +1.058772374e+03 +1.9147e+00 +4.1803e+00 -7.1289e-01 -1.7535e-01 -4.2856e+00 +3.1017e+00 +4.3953e+00 +3.2494e+00 +2.7433e+00 +3.5635e+00 -2.8252e+00 -5.9113e-01 +7.6628e-01 -2.6658e+00 +2.6302e+00 -2.6366e+00 +3.3303e+00 -4.7152e+00 +3.2648e+00 +3.0241e+00
44 +3.877158734e+02 +3.877158734e+02 +4.806558734e+02 +4.806558734e+02 +2.4588e+00 +1.8736e+00 -1.8167e+00 +8.8594e-01 -4.0350e+00 +3.9649e+00 +1.6508e+00 +6.8495e-01 +4.3405e+00 +2.5088e+00 -1.8617e+00 -1.4448e+00 -3.5638e+00 -1.8968e+00 +2.7357e+00 -3.1965e+00 +3.3142e+00 -2.8942e+00 +7.6294e-01 +5.6544e-01
129 +2.429672622e+02 +2.429672622e+02 +3.359072622e+02 +3.359072622e+02 +2.5045e+00 +1.3095e+00 -1.7775e+00 +1.8923e+00 -3.4411e-01 +3.7863e+00 +1.5966e+00 +5.6826e-01 +3.9697e+00 +1.8584e+00 -2.6685e+00 -1.6859e+00 -3.3817e+00 -2.1213e+00 +2.7456e+00 -3.1007e+00 +3.2259e+00 -2.8689e+00 -6.8275e-01 +5.8207e-01
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.818882350e+03 +5.818882350e+03 +5.854232350e+03 +5.854232350e+03 -2.0223e+00 +1.3676e+00 -4.5757e+00 -3.7513e+00 -3.7519e+00 -4.4019e+00 -4.3467e+00 -4.4442e+00 -2.8814e+00 -1.8823e+00 +3.2106e+00 +3.2086e-01 +8.2139e-01 -1.4061e+00 +4.7770e+00 +8.7526e-01 +2.7623e+00 -4.7765e+00 -1.4933e+00 -2.5664e+00
3 +3.471973308e+03 +3.471973308e+03 +3.507323308e+03 +3.507323308e+03 -1.1798e+00 +4.0835e+00 +4.6037e+00 -8.7603e-01 +1.3383e+00 -5.7163e-01 -1.7161e+00 -1.2588e+00 -2.3068e-01 +4.6173e+00 +2.8346e-01 +6.7011e-01 +9.1499e-01 -1.7274e+00 +2.5062e+00 +2.3148e+00 +1.8260e+00 -2.4397e+00 +2.7766e-01 -4.3259e+00
17 +2.397873784e+03 +2.397873784e+03 +2.433223784e+03 +2.433223784e+03 +2.3567e+00 +2.2706e+00 +4.4499e+00 +1.0886e+00 -1.1225e+00 -3.3604e+00 -2.8571e+00 +4.3240e+00 -2.1535e+00 +4.9767e+00 +2.3384e+00 -2.9011e+00 +1.4612e+00 +4.7989e+00 -1.1474e-01 +4.3895e+00 +3.8372e+00 +4.7619e+00 -2.0285e+00 +1.1476e+00
39 +1.241211295e+03 +1.241211295e+03 +1.276561295e+03 +1.276561295e+03 -2.2774e+00 -4.5116e+00 -6.0562e-01 +1.8107e+00 -3.3838e+00 +1.0278e+00 +1.1348e+00 +1.7229e+00 -3.0902e+00 -4.7382e+00 +1.5776e-01 -2.3977e+00 +2.9886e+00 -3.8257e+00 -4.8137e+00 -2.0638e+00 +2.7741e+00 +1.0956e+00 +2.0390e+00 +7.0806e-01
71 +8.072188128e+02 +8.072188128e+02 +8.425688128e+02 +8.425688128e+02 -2.4979e+00 -2.3579e+00 +1.8242e+00 +5.6083e-01 -3.2437e+00 -1.7724e+00 +3.0031e+00 +1.4924e+00 -2.5369e+00 -1.9798e+00 -1.7433e+00 +9.1007e-01 +2.9517e+00 +2.4804e+00 +1.6849e+00 +5.0447e-01 +2.5565e+00 +2.0579e+00 +1.8351e+00 +1.2606e+00
86 +5.706127162e+02 +5.706127162e+02 +6.059627162e+02 +6.059627162e+02 -1.4463e+00 -2.6208e+00 +1.7032e+00 +3.4045e-01 -3.1585e+00 -7.2737e-01 +1.4401e+00 +2.2448e+00 -2.5316e+00 -2.5579e+00 -8.2345e-01 +1.1398e+00 +2.8944e+00 +1.9692e+00 -3.4886e+00 +1.6237e+00 +2.2454e+00 +1.0552e+00 +2.5986e+00 +1.3252e+00
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.163108265e+03 +1.163108265e+03 +1.166928265e+03 +1.166928265e+03 +1.3775e-01 -2.7579e+00 +1.9566e+00 -2.8787e+00 +4.0204e+00 -5.3783e-01 -5.4753e-01 -4.5509e-01 +4.2617e+00 -3.6532e+00 +3.3284e+00 +3.9934e+00 +1.7763e+00 -9.7803e-01 -1.3542e+00 +4.1777e+00 +5.5530e-01 +2.7302e+00 +2.2998e+00 -4.1403e+00
3 +9.614732355e+02 +9.614732355e+02 +9.652932355e+02 +9.652932355e+02 +4.0669e-01 +2.5618e+00 +5.7052e-01 -3.2690e+00 -2.8695e-01 +7.9976e-01 -1.9173e+00 +4.4352e+00 -3.9419e+00 -7.0049e-01 +6.2150e-01 -4.2601e+00 -3.1248e+00 -3.9865e+00 -3.0581e+00 -1.5625e+00 +1.2921e+00 -3.5145e+00 +4.2968e+00 -3.1300e+00
41 +4.108535791e+02 +4.108535791e+02 +4.146735791e+02 +4.146735791e+02 +6.3515e-01 -7.8249e-01 +1.2360e+00 -1.3258e+00 +2.7213e+00 -4.6752e-01 +4.1113e+00 -3.0844e+00 +3.1461e+00 +3.9537e+00 +6.9024e-02 +3.7353e+00 +3.3328e+00 -2.8156e+00 +6.0723e-03 -5.3883e-01 -2.2059e+00 +1.9915e+00 +1.9038e+00 -2.2577e-01
81 +3.451127721e+02 +3.451127721e+02 +3.489327721e+02 +3.489327721e+02 +6.3515e-01 -7.8249e-01 +1.2360e+00 -1.3258e+00 +2.7213e+00 -4.6752e-01 +4.1113e+00 -3.0844e+00 +9.0877e-01 +3.9537e+00 +6.9024e-02 +3.7353e+00 +3.3328e+00 -2.8156e+00 +6.0723e-03 -5.3883e-01 -2.2059e+00 +1.9915e+00 +1.9038e+00 -2.2577e-01
238 +2.457620071e+02 +2.457620071e+02 +2.495820071e+02 +2.495820071e+02 +3.4099e-01 -6.3814e-01 +1.8909e+00 -1.8433e-01 +2.4492e+00 -6.5893e-01 +3.3447e+00 -3.1094e+00 +8.1847e-01 +3.4834e+00 +1.7890e-01 +1.8866e+00 +2.3915e+00 -3.2909e+00 +1.5423e+00 -9.9165e-01 -7.0975e-01 +1.2539e+00 +1.3395e+00 +9.2662e-01
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.618425352e+03 +4.618425352e+03 +4.640175352e+03 +4.640175352e+03 +3.6049e+00 -3.9975e-01 -4.3851e+00 +9.8734e-01 +4.5557e+00 -2.8102e-01 +1.5103e+00 +7.5434e-01 -4.5794e+00 -2.9217e+00 +4.1756e+00 -8.2251e-01 -4.8442e+00 +2.9414e+00 +4.5153e+00 -4.4854e+00 -7.7814e-02 +3.9248e-01 +3.1247e+00 +3.3108e+00
2 +3.192232754e+03 +3.192232754e+03 +3.213982754e+03 +3.213982754e+03 +2.9502e+00 -2.6918e+00 +4.3460e+00 +4.5976e+00 -4.4455e+00 +2.7602e+00 -2.3578e+00 +1.3851e+00 +3.6163e+00 -1.3484e+00 +4.8377e+00 +4.4195e+00 -2.3193e-01 -3.3856e+00 +1.6448e-01 +3.7336e+00 -2.8593e+00 -2.2285e+00 +1.3085e+00 +3.5268e+00
3 +1.884223817e+03 +1.884223817e+03 +1.905973817e+03 +1.905973817e+03 +3.3706e+00 +1.6063e+00 -8.5370e-01 -1.7786e-02 -4.8663e+00 +2.0272e+00 +1.9731e+00 +2.0545e+00 +3.5664e+00 +2.4025e+00 -3.2262e+00 -3.8905e+00 +1.2966e+00 -4.9287e+00 -3.9692e+00 -4.0903e+00 +4.0132e+00 +1.1747e+00 +8.0072e-01 +5.3420e-01
14 +1.037810621e+03 +1.037810621e+03 +1.059560621e+03 +1.059560621e+03 +4.4219e+00 -1.0037e+00 +6.1725e-01 -3.3206e+00 -1.0783e+00 -2.6241e+00 +3.3693e+00 -1.5187e+00 -2.9645e+00 +2.5297e+00 +2.3424e+00 -5.9733e-01 -1.1724e+00 +1.6829e+00 -3.5473e+00 +3.9246e+00 +4.7491e+00 +1.8265e+00 -1.0689e+00 +1.7051e+00
45 +4.716796957e+02 +4.716796957e+02 +4.934296957e+02 +4.934296957e+02 +8.0278e-01 -1.8156e+00 +1.5560e+00 +3.3477e+00 +1.7433e+00 -4.9564e-01 +2.9229e+00 -2.7463e+00 +2.3711e+00 +3.5763e+00 +2.2895e+00 +3.5752e+00 +3.0083e+00 -4.4817e+00 -7.5997e-01 -2.4087e+00 -1.7192e+00 +3.5805e+00 -7.9434e-01 +1.5644e+00
97 +3.612690209e+02 +3.612690209e+02 +3.830190209e+02 +3.830190209e+02 +3.0887e+00 +2.0525e-01 -3.3688e+00 +3.3541e+00 +1.4688e+00 +2.4924e+00 -6.7961e-01 -2.3699e+00 +2.8337e+00 +5.9939e-01 +2.6719e+00 +1.3451e+00 +2.3905e+00 -3.0240e+00 +2.9821e+00 -3.7675e+00 +1.9161e+00 +8.6043e-01 -5.3826e-01 +3.0286e+00
% function evaluation | noise-free fitness - Fopt (6.479000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.542653634e+03 +2.542653634e+03 +2.607443634e+03 +2.607443634e+03 -4.4555e+00 +8.6190e-02 +1.6368e+00 +1.2426e-02 +3.7433e+00 -3.1973e+00 +3.0597e+00 +1.4712e+00 -5.5373e-01 -4.0757e+00 +2.8521e+00 -2.5738e+00 -3.0180e+00 -1.0545e-01 +3.6924e+00 -2.0767e+00 +3.5060e+00 -2.1837e+00 +1.9091e+00 +6.9138e-01
2 +2.038568655e+03 +2.038568655e+03 +2.103358655e+03 +2.103358655e+03 +1.5975e+00 -3.2964e+00 -1.3040e+00 -3.4831e+00 -4.5600e+00 -1.5385e-02 -3.4594e-01 +4.9313e-01 -3.5395e+00 -1.7420e-01 +1.8156e-02 +1.0860e+00 -1.9138e+00 -4.8866e+00 +3.7793e+00 -3.7179e+00 -3.2122e+00 +2.8969e+00 +6.6081e-01 -6.4125e-01
3 +1.336578203e+03 +1.336578203e+03 +1.401368203e+03 +1.401368203e+03 -1.6209e-01 +4.5548e+00 -2.8656e+00 -2.4162e+00 +6.3431e-02 +4.3946e+00 -9.3906e-01 -2.0265e+00 -4.7118e+00 +3.3364e+00 -3.3612e+00 +1.0438e+00 -3.0629e+00 +3.8195e+00 +5.4727e-01 -9.7399e-01 +3.4760e+00 -4.9443e+00 -4.3954e+00 +3.9222e-01
23 +9.304067783e+02 +9.304067783e+02 +9.951967783e+02 +9.951967783e+02 +1.0492e+00 -3.7450e+00 -2.9346e+00 +9.2421e-02 +3.8596e+00 -3.4387e-01 -3.1269e+00 -9.2675e-01 +2.1002e+00 +3.7601e+00 +3.9758e+00 -2.9335e+00 -4.1697e-01 +3.9928e+00 -1.0811e+00 -1.6630e+00 +2.8828e+00 +1.4818e+00 +9.9230e-01 -4.3774e+00
43 +5.860144892e+02 +5.860144892e+02 +6.508044892e+02 +6.508044892e+02 +2.2459e+00 +3.5666e+00 -9.8939e-01 -1.7154e+00 +8.4253e-01 +2.8854e+00 -1.4737e+00 -1.8968e+00 -3.7102e+00 +2.2000e-01 -2.1754e+00 +1.2403e+00 -1.6841e+00 +3.9490e+00 -4.8382e-01 +1.9022e+00 -1.8189e+00 -4.3165e-01 -2.2281e+00 +1.5827e+00
