% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.813261444e+05 +3.813261444e+05 +3.814499744e+05 +3.814499744e+05 -4.8510e+00 -2.3554e+00 +2.2281e+00 +3.6014e+00 +1.2245e-01 +2.2419e+00 +3.0732e+00 +4.7760e+00 +3.1167e+00 -1.4424e+00 +1.8779e+00 +4.9843e+00 -1.1197e+00 -1.4112e+00 +1.0449e+00 -2.7882e+00 +5.0314e-01 -1.3775e+00 -4.2470e+00 +4.1293e+00
7 +2.361781066e+05 +2.361781066e+05 +2.363019366e+05 +2.363019366e+05 +3.6249e+00 +2.0990e+00 +4.2059e+00 +1.6905e+00 -7.0208e-01 +1.4847e+00 +1.5698e+00 +4.3265e-01 +3.7692e+00 -4.7103e+00 -4.7625e+00 -7.6281e-01 -2.6074e+00 +1.0700e+00 +1.5449e+00 +2.9100e+00 -1.2608e+00 -4.6189e+00 +1.9528e+00 +5.1045e-01
49 +6.328498002e+04 +6.328498002e+04 +6.340881002e+04 +6.340881002e+04 +6.2984e-01 +2.6115e-01 -2.5219e-01 -1.1504e+00 -9.6341e-01 -1.0811e+00 -1.4592e+00 +1.4203e+00 +3.9148e+00 -6.0516e-01 -1.5329e+00 -1.6175e+00 -3.3961e+00 +4.9751e-02 -2.2829e+00 +1.7469e+00 -4.4531e+00 -1.2668e+00 +6.1991e-01 +1.7536e+00
64 +2.495020542e+04 +2.495020542e+04 +2.507403542e+04 +2.507403542e+04 -5.1440e-01 +2.4022e+00 -9.8599e-01 -3.8762e+00 -7.1742e-01 +6.1465e-01 -2.1714e-01 +1.4545e+00 +8.2415e-01 -1.1607e+00 +2.1769e+00 -1.5814e+00 -9.8004e-01 -1.6803e+00 -2.7128e+00 -2.0326e-01 -1.2344e+00 +1.9948e+00 -7.1088e-01 +5.9407e-01
122 +9.552104246e+03 +9.552104246e+03 +9.675934246e+03 +9.675934246e+03 +5.5492e-01 +1.4712e+00 -8.9880e-01 -7.6334e-01 -7.1042e-01 +3.9569e-01 -1.0378e+00 +2.1954e-01 +1.7001e+00 -6.4103e-01 -1.1738e-02 -1.5984e+00 -3.8874e-01 -1.2419e+00 -2.5287e+00 -2.2089e-01 -3.1594e+00 +1.8517e+00 -7.1084e-01 +6.4255e-01
313 +6.240131758e+03 +6.240131758e+03 +6.363961758e+03 +6.363961758e+03 -2.5912e-01 +1.6437e+00 -9.6842e-01 -1.1630e+00 -4.3190e-01 +1.1214e-01 -1.2892e-01 +4.6446e-01 +1.5522e+00 -9.9581e-01 +4.4001e-01 -1.6435e+00 +6.4414e-01 -9.3881e-01 -2.6076e+00 +1.1703e-01 -2.2855e+00 +1.8553e+00 -7.1025e-01 +6.2904e-01
% function evaluation | noise-free fitness - Fopt (4.751000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.912307937e+05 +4.912307937e+05 +4.912783037e+05 +4.912783037e+05 -1.9592e+00 -4.9063e+00 +4.3286e+00 -1.8689e-01 -1.0058e+00 -1.8410e+00 +2.6927e+00 -2.7970e+00 +1.8534e+00 +4.0562e+00 -2.5045e+00 +3.9941e+00 -1.8798e+00 +5.0258e-01 -3.1506e+00 +4.6472e+00 -4.5926e+00 -3.6582e+00 +2.0965e+00 +7.2361e-01
3 +9.698819227e+04 +9.698819227e+04 +9.703570227e+04 +9.703570227e+04 -1.3516e-01 -3.3690e+00 +9.8995e-01 -1.9779e+00 -1.4784e-01 +2.8483e+00 -1.1391e+00 +3.4541e+00 +2.9710e+00 +2.8896e+00 +5.0351e-02 +4.5136e+00 -6.0113e-01 +2.6636e-01 +8.5169e-01 -8.6977e-01 +3.5440e+00 +2.5132e+00 +2.6000e+00 -2.9846e-01
41 +2.722917629e+04 +2.722917629e+04 +2.727668629e+04 +2.727668629e+04 +1.2312e+00 -2.7764e+00 +2.6055e-01 -1.8872e-01 +2.2753e+00 +9.7256e-01 +5.7200e-01 -3.2772e-01 -9.9864e-02 +2.4947e+00 -2.0208e+00 +2.6945e+00 +3.0201e-01 +9.6552e-02 -2.3522e+00 +3.6759e+00 -4.5825e-01 -4.8663e-01 +4.6005e-01 -2.7999e-01
90 +2.358606229e+04 +2.358606229e+04 +2.363357229e+04 +2.363357229e+04 +1.2312e+00 -2.7764e+00 +2.6055e-01 -1.8872e-01 +2.2753e+00 +9.7256e-01 +5.7200e-01 -3.2772e-01 -9.9864e-02 +1.8718e+00 -2.0208e+00 +2.6945e+00 +3.0201e-01 +9.6552e-02 -2.3522e+00 +3.6759e+00 -4.5825e-01 -4.8663e-01 +4.6005e-01 -2.7999e-01
125 +1.483774467e+04 +1.483774467e+04 +1.488525467e+04 +1.488525467e+04 +1.2940e+00 -2.0991e+00 -6.9998e-01 -8.4911e-01 +2.2015e+00 +1.8767e+00 +5.7117e-01 +1.0286e+00 -2.5097e-01 +1.7034e+00 -2.0528e+00 +1.7138e+00 +6.9647e-01 -9.6702e-01 -2.3424e+00 +3.5512e+00 -2.5348e-01 +3.0237e-01 +3.8422e-01 -2.0035e+00
139 +8.758233513e+03 +8.758233513e+03 +8.805743513e+03 +8.805743513e+03 -1.6750e+00 -4.2659e-01 +9.1471e-02 -1.1178e+00 +1.7645e+00 +1.7603e+00 +3.6719e-01 +1.7055e+00 -5.6432e-01 +7.4865e-01 -1.5682e+00 -8.8537e-02 +2.4132e+00 -1.3409e+00 -2.1070e+00 +2.8208e+00 +1.8377e-02 +6.2311e-01 +1.9638e-01 -7.5849e-01
206 +5.606830274e+03 +5.606830274e+03 +5.654340274e+03 +5.654340274e+03 -1.0456e+00 -4.4532e-01 +6.4926e-02 -1.1134e+00 +2.0135e+00 +1.8630e+00 +3.6826e-01 +6.8554e-01 -5.9732e-01 +7.0264e-01 -1.6223e+00 +8.3929e-03 +2.0307e+00 -1.3249e+00 -2.1231e+00 +2.7627e+00 +6.4190e-02 +6.7277e-01 +1.8135e-01 -1.2882e+00
1327 +3.767210293e+03 +3.767210293e+03 +3.814720293e+03 +3.814720293e+03 -6.6533e-01 -8.5498e-01 -7.5080e-01 -7.3993e-01 +2.0492e+00 +1.9946e+00 +5.2481e-01 -2.6902e-01 -6.1566e-01 +6.8960e-01 -1.9481e+00 +6.2043e-01 +6.2460e-01 -1.0567e+00 -1.9975e+00 +2.5933e+00 +1.1997e-01 +5.9945e-01 +1.1078e-01 -1.3366e+00
% function evaluation | noise-free fitness - Fopt (5.534000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.234010910e+05 +3.234010910e+05 +3.234564310e+05 +3.234564310e+05 +6.1925e-02 -1.6231e+00 +2.5722e+00 +3.6557e+00 -4.3316e+00 +3.6528e+00 +2.5546e+00 +2.8535e+00 +4.0477e+00 -3.3271e-01 -1.7089e+00 +3.4519e+00 +2.6605e+00 -4.0326e+00 -1.1604e+00 -1.2589e+00 +5.0820e-01 +1.7708e+00 -5.9304e-01 -3.7269e+00
