% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.976755358e+05 +5.976755358e+05 +5.978246858e+05 +5.978246858e+05 +3.5480e+00 -4.0824e+00 +4.0673e+00 -8.2846e-01 -3.7591e+00 +4.2216e-01 +2.3012e+00 +4.3349e-02 +2.3407e+00 -1.3793e+00 +4.8073e+00 -8.3396e-01 +1.3551e+00 -3.2474e+00 +2.6661e+00 -4.8892e+00 -3.6387e+00 -9.4791e-01 +1.1785e+00 -3.6501e+00
2 +2.634703342e+05 +2.634703342e+05 +2.636194842e+05 +2.636194842e+05 -3.3878e+00 +2.7633e-01 +5.2378e-02 -4.1151e+00 -1.3610e+00 +2.9980e+00 -2.9954e+00 +4.9942e-01 +3.0619e-01 -3.1040e+00 -4.6722e+00 +2.9763e+00 +2.2913e+00 -4.8739e+00 +3.3909e+00 -2.8287e+00 -2.3945e+00 -4.1660e+00 +1.6591e+00 +4.2699e+00
27 +1.705257381e+05 +1.705257381e+05 +1.706748881e+05 +1.706748881e+05 +3.1413e+00 +3.2568e+00 +1.0007e+00 -9.9606e-01 -8.8889e-02 +1.7757e+00 -5.2756e-01 -4.8385e+00 -3.1727e+00 +4.0118e+00 -6.3835e-01 -1.6210e+00 +3.7330e+00 -1.1396e+00 +2.0653e+00 -3.6293e+00 +5.2805e-01 -2.6430e+00 -3.1123e-01 -2.3737e+00
32 +1.213197243e+05 +1.213197243e+05 +1.214688743e+05 +1.214688743e+05 -1.3278e+00 -1.0095e+00 -1.9929e+00 +4.1737e+00 -8.6460e-01 -3.9972e+00 -4.7592e+00 +1.0666e+00 -2.5048e+00 -2.6245e+00 +1.7127e+00 +2.2419e+00 +1.2797e-01 -6.9013e-01 +1.1368e+00 -1.9383e+00 -1.6383e+00 -4.8003e+00 -2.2320e+00 -1.1837e+00
43 +5.668388326e+04 +5.668388326e+04 +5.683303326e+04 +5.683303326e+04 -4.1883e-02 -1.2931e+00 -2.7023e+00 -1.7501e+00 -6.3739e-01 -1.8720e+00 -3.2912e+00 -1.8513e+00 -2.5771e+00 +1.8566e+00 +1.4876e+00 +2.3373e+00 +1.1738e-01 +4.4275e-01 +1.1505e+00 -1.9137e+00 -2.8301e+00 -2.4537e+00 -2.1259e+00 -6.5558e-01
90 +3.888326819e+04 +3.888326819e+04 +3.903241819e+04 +3.903241819e+04 -2.6326e+00 -1.4654e+00 +6.9960e-01 +3.9770e+00 -1.1130e+00 -8.7726e-01 -4.4928e+00 -1.6211e+00 -1.4693e+00 -2.5660e+00 -5.7990e-01 +1.6625e+00 +6.4547e-02 -1.5620e+00 +9.9012e-01 +1.8375e+00 -2.0497e+00 -1.7850e+00 -1.2963e+00 -1.9537e+00
178 +2.278795734e+04 +2.278795734e+04 +2.293710734e+04 +2.293710734e+04 -2.1929e+00 -4.5127e-02 -3.3918e-01 +2.8543e+00 -9.3846e-01 -9.2036e-01 -4.4931e+00 +7.1904e-03 -1.4800e+00 -1.5944e+00 -3.0773e-01 +1.3305e+00 -6.2910e-01 -1.4285e+00 -1.5508e-01 +6.2383e-01 -1.8880e+00 -1.4773e+00 -1.3264e+00 -2.6941e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.636867109e+06 +1.636867109e+06 +1.635867109e+06 +1.635867109e+06 +3.1852e+00 -1.3053e+00 -1.8367e+00 +3.5570e+00 +4.9389e+00 -2.6260e+00 -4.0086e+00 -3.8634e-01 +3.0420e+00 -4.1487e+00 -1.1850e+00 -4.2440e+00 -2.7977e-01 +4.6134e+00 -2.9237e+00 -3.7520e+00 -3.9847e+00 -4.4896e-01 +3.2381e+00 +3.4877e-01
2 +3.714873721e+05 +3.714873721e+05 +3.704873721e+05 +3.704873721e+05 -4.2804e+00 +2.6174e+00 +3.3256e+00 -4.2543e+00 -1.6550e-01 -4.0008e+00 +1.3920e+00 -2.2703e+00 -3.6970e+00 +1.7489e+00 -2.1093e+00 -4.6466e+00 +3.1262e-01 -1.6909e+00 +1.1340e+00 +4.7353e+00 -4.5684e+00 -2.5020e+00 +1.3742e+00 -3.1204e+00
